xer	concord	id
0.160	0.423	0.00083823
0.160	0.462	0.00639600
0.160	0.500	0.04706809
0.160	0.538	0.27483458
0.160	0.577	0.74411877
0.160	0.615	0.95710694
0.160	0.654	0.99419332
0.160	0.692	0.99923940
0.160	0.731	0.99990081
0.160	0.769	0.99998707
0.160	0.808	0.99999832
0.160	0.846	0.99999978
0.160	0.885	0.99999997
0.160	0.923	1.00000000
0.160	0.962	1.00000000
0.160	1.000	1.00000000
0.170	0.000	0.00000000
0.170	0.038	0.00000000
0.170	0.077	0.00000000
0.170	0.115	0.00000000
0.170	0.154	0.00000000
0.170	0.192	0.00000001
0.170	0.231	0.00000010
0.170	0.269	0.00000070
0.170	0.308	0.00000502
0.170	0.346	0.00003586
0.170	0.385	0.00025580
0.170	0.423	0.00182244
0.170	0.462	0.01286070
0.170	0.500	0.08505868
0.170	0.538	0.39881582
0.170	0.577	0.82559372
0.170	0.615	0.97124682
0.170	0.654	0.99586839
0.170	0.692	0.99941893
0.170	0.731	0.99991853
0.170	0.769	0.99998858
0.170	0.808	0.99999840
0.170	0.846	0.99999978
0.170	0.885	0.99999997
0.170	0.923	1.00000000
0.170	0.962	1.00000000
0.170	1.000	1.00000000
0.180	0.000	0.00000000
0.180	0.038	0.00000000
0.180	0.077	0.00000000
0.180	0.115	0.00000000
0.180	0.154	0.00000001
0.180	0.192	0.00000004
0.180	0.231	0.00000029
0.180	0.269	0.00000192
0.180	0.308	0.00001276
0.180	0.346	0.00008495
0.180	0.385	0.00056532
0.180	0.423	0.00375199
0.180	0.462	0.02446186
0.180	0.500	0.14306821
0.180	0.538	0.52642543
0.180	0.577	0.88096889
0.180	0.615	0.98011052
0.180	0.654	0.99696139
0.180	0.692	0.99954244
0.180	0.731	0.99993125
0.180	0.769	0.99998967
0.180	0.808	0.99999845
0.180	0.846	0.99999977
0.180	0.885	0.99999997
0.180	0.923	0.99999999
0.180	0.962	1.00000000
0.180	1.000	1.00000000
0.190	0.000	0.00000000
0.190	0.038	0.00000000
0.190	0.077	0.00000000
0.190	0.115	0.00000000
0.190	0.154	0.00000002
0.190	0.192	0.00000013
0.190	0.231	0.00000079
0.190	0.269	0.00000491
0.190	0.308	0.00003061
0.190	0.346	0.00019069
0.190	0.385	0.00118696
0.190	0.423	0.00735003
0.190	0.462	0.04410083
0.190	0.500	0.22327639
0.190	0.538	0.64171733
0.190	0.577	0.91776236
0.190	0.615	0.98582257
0.190	0.654	0.99769720
0.190	0.692	0.99962970
0.190	0.731	0.99994055
0.190	0.769	0.99999046
0.190	0.808	0.99999847
0.190	0.846	0.99999975
0.190	0.885	0.99999996
0.190	0.923	0.99999999
0.190	0.962	1.00000000
0.190	1.000	1.00000000
0.200	0.000	0.00000000
0.200	0.038	0.00000000
0.200	0.077	0.00000000
0.200	0.115	0.00000001
0.200	0.154	0.00000006
0.200	0.192	0.00000035
0.200	0.231	0.00000204
0.200	0.269	0.00001193
0.200	0.308	0.00006977
0.200	0.346	0.00040773
0.200	0.385	0.00237897
0.200	0.423	0.01374931
0.200	0.462	0.07535929
0.200	0.500	0.32270811
0.200	0.538	0.73583459
0.200	0.577	0.94214470
0.200	0.615	0.98960517
0.200	0.654	0.99820648
0.200	0.692	0.99969276
0.200	0.731	0.99994743
0.200	0.769	0.99999101
0.200	0.808	0.99999846
0.200	0.846	0.99999974
0.200	0.885	0.99999995
0.200	0.923	0.99999999
0.200	0.962	1.00000000
0.200	1.000	1.00000000
