#Sample	CR	autosomal_het	x_het
#stats from 101/210 SNPs with CR >= 95%
plate06_D03_s000499	0.980198	0.2273	0.1455
plate07_G09_s000646	0.980198	0.2955	0.3273
plate10_B10_s000937	0.980198	0.2955	0.2364
plate06_G02_s000494	0.980198	0.2558	0.2143
plate07_B10_s000649	0.980198	0.3023	0.0000
plate10_G08_s000926	0.980198	0.2667	0.2593
plate07_D07_s000627	0.980198	0.2045	0.0000
plate06_D01_s000483	0.980198	0.2222	0.0185
plate06_B01_s000481	0.980198	0.3023	0.4286
plate05_D08_s000443	0.980198	0.2444	0.2222
plate01_H04_s000031	0.980198	0.1364	0.2909
plate10_D04_s000891	0.980198	0.2326	0.0357
plate05_A09_s000448	0.980198	0.2045	0.0182
plate07_F06_s000621	0.980198	0.3023	0.1786
plate05_B09_s000449	0.980198	0.2444	0.0370
plate01_B05_s000033	0.980198	0.2273	0.1636
plate11_A02_s000968	0.980198	0.2045	0.3273
plate10_E03_s000884	0.980198	0.2000	0.0000
plate10_A03_s000880	0.980198	0.2955	0.0545
plate05_G09_s000454	0.980198	0.2045	0.0182
plate02_G01_s000102	0.980198	0.2955	0.2364
plate10_D05_s000899	0.980198	0.2955	0.1818
plate10_H02_s000879	0.980198	0.2444	0.1481
plate02_D04_s000123	0.980198	0.2500	0.2364
plate07_E03_s000596	0.970297	0.2444	0.2642
plate05_G06_s000430	0.970297	0.3111	0.0189
plate09_C03_s000786	0.970297	0.2558	0.3273
plate05_C05_s000418	0.970297	0.3778	0.0000
plate04_G01_s000294	0.970297	0.2273	0.0185
plate06_A09_s000544	0.970297	0.1778	0.1887
plate07_A04_s000600	0.970297	0.3333	0.3208
plate09_D03_s000787	0.970297	0.2222	0.0000
plate05_B08_s000441	0.970297	0.2667	0.0189
plate06_H02_s000495	0.970297	0.3409	0.0185
plate07_E01_s000580	0.970297	0.1628	0.0000
plate05_C04_s000410	0.970297	0.3953	0.0000
plate08_D10_s000747	0.970297	0.3636	0.0000
plate04_C03_s000306	0.970297	0.2667	0.0000
plate07_A10_s000648	0.970297	0.2955	0.0370
plate06_C02_s000490	0.970297	0.2444	0.0189
plate04_G03_s000310	0.970297	0.2045	0.0000
plate07_G08_s000638	0.970297	0.2619	0.0179
plate08_F02_s000685	0.970297	0.2326	0.0182
plate09_H01_s000775	0.970297	0.1364	0.3519
plate03_A11_s000272	0.970297	0.2143	0.2321
plate03_H09_s000263	0.970297	0.2727	0.0000
plate08_C02_s000682	0.970297	0.2791	0.0364
plate03_B11_s000273	0.970297	0.3111	0.3396
plate03_C11_s000274	0.970297	0.2955	0.2037
plate07_C09_s000642	0.970297	0.2444	0.0377
plate07_H07_s000631	0.970297	0.1556	0.2830
plate06_G03_s000502	0.970297	0.2857	0.2500
plate03_E09_s000260	0.970297	0.2889	0.1132
plate03_H12_s000287	0.970297	0.2045	0.2222
plate09_H02_s000783	0.970297	0.2500	0.1667
plate04_A01_s000288	0.970297	0.1818	0.2222
plate07_D03_s000595	0.970297	0.2222	0.0000
plate07_C01_s000578	0.970297	0.2500	0.0185
plate04_C01_s000290	0.970297	0.2500	0.0556
plate04_E08_s000348	0.970297	0.1591	0.0000
plate07_F11_s000661	0.970297	0.2045	0.0000
plate04_A09_s000352	0.970297	0.2727	0.0741
plate05_E11_s000468	0.970297	0.2558	0.2364
plate08_A01_s000672	0.970297	0.2558	0.2364
plate05_B02_s000393	0.970297	0.2791	0.0364
plate05_F10_s000461	0.970297	0.2500	0.2593
plate06_G09_s000550	0.970297	0.2955	0.2778
plate07_C07_s000626	0.970297	0.2444	0.2642
plate06_A08_s000536	0.970297	0.3182	0.0741
plate05_G01_s000390	0.970297	0.3636	0.3148
plate04_F10_s000365	0.970297	0.2326	0.0182
plate07_C12_s000666	0.970297	0.2558	0.3091
plate06_C08_s000538	0.970297	0.3333	0.0189
plate04_D11_s000371	0.970297	0.2857	0.0000
plate04_H12_s000383	0.970297	0.2326	0.1636
plate07_D12_s000667	0.970297	0.2143	0.2500
plate07_G12_s000670	0.970297	0.3182	0.0000
plate08_B06_s000713	0.970297	0.1628	0.2727
plate08_E05_s000708	0.970297	0.2955	0.2778
plate04_F12_s000381	0.970297	0.2500	0.3148
plate08_D01_s000675	0.970297	0.2444	0.1887
plate05_G03_s000406	0.970297	0.2143	0.0000
plate04_B04_s000313	0.970297	0.3953	0.1818
plate07_F10_s000653	0.970297	0.1591	0.2037
plate05_E03_s000404	0.970297	0.2326	0.0182
plate04_D04_s000315	0.970297	0.2889	0.2642
plate05_F08_s000445	0.970297	0.1667	0.1786
plate04_E04_s000316	0.970297	0.3333	0.0179
plate07_H04_s000607	0.970297	0.1818	0.0185
plate04_H04_s000319	0.970297	0.2500	0.2407
plate07_A11_s000656	0.970297	0.2326	0.0182
plate04_G05_s000326	0.970297	0.3182	0.0185
plate08_G04_s000702	0.970297	0.2791	0.0364
plate05_H08_s000447	0.970297	0.2500	0.0000
plate08_C09_s000738	0.970297	0.2791	0.0545
plate07_G06_s000622	0.970297	0.2143	0.2321
plate04_F06_s000333	0.970297	0.1667	0.0000
plate08_E08_s000732	0.970297	0.4091	0.4259
plate04_F07_s000341	0.970297	0.3111	0.3208
plate06_C10_s000554	0.970297	0.2326	0.2545
plate08_B01_s000673	0.970297	0.2791	0.2364
plate04_C08_s000346	0.970297	0.2045	0.0185
plate01_H12_s000095	0.970297	0.2273	0.2407
plate10_E11_s000948	0.970297	0.3111	0.2264
plate01_B07_s000049	0.970297	0.2500	0.1852
plate02_D01_s000099	0.970297	0.2444	0.2075
plate03_E02_s000204	0.970297	0.2143	0.0357
plate09_B11_s000849	0.970297	0.2791	0.0000
plate09_E08_s000828	0.970297	0.2955	0.0185
plate10_B05_s000897	0.970297	0.2558	0.0182
plate03_C03_s000210	0.970297	0.2791	0.0364
plate01_E06_s000044	0.970297	0.1905	0.0179
plate02_C02_s000106	0.970297	0.2326	0.2364
plate03_G03_s000214	0.970297	0.2273	0.0000
plate02_D02_s000107	0.970297	0.1395	0.2000
plate10_A04_s000888	0.970297	0.3182	0.0556
plate11_A01_s000960	0.970297	0.1905	0.2679
plate01_H05_s000039	0.970297	0.2500	0.0000
plate03_D04_s000219	0.970297	0.1591	0.2593
plate02_G08_s000158	0.970297	0.2667	0.0189
plate10_G03_s000886	0.970297	0.2558	0.2000
plate09_E06_s000812	0.970297	0.2727	0.0185
plate10_D08_s000923	0.970297	0.2667	0.0189
plate10_B08_s000921	0.970297	0.4000	0.2830
plate10_H07_s000919	0.970297	0.3023	0.3273
plate02_C12_s000186	0.970297	0.2273	0.0370
plate10_A09_s000928	0.970297	0.2273	0.4074
plate01_E11_s000084	0.970297	0.1395	0.1636
plate09_H10_s000847	0.970297	0.2955	0.0370
plate10_G09_s000934	0.970297	0.2326	0.3273
plate10_C10_s000938	0.970297	0.3111	0.2453
plate10_D10_s000939	0.970297	0.2667	0.0377
plate02_F12_s000189	0.970297	0.2000	0.0189
plate01_F11_s000085	0.970297	0.2727	0.0370
plate02_G12_s000190	0.970297	0.2667	0.2453
plate10_A11_s000944	0.970297	0.3182	0.2037
plate10_E07_s000916	0.970297	0.1778	0.1698
plate01_F07_s000053	0.970297	0.3182	0.2222
plate10_C11_s000946	0.970297	0.3256	0.0364
plate03_D01_s000195	0.970297	0.2045	0.0185
plate03_F01_s000197	0.970297	0.2326	0.0000
plate10_D07_s000915	0.970297	0.2093	0.2909
plate02_A06_s000136	0.970297	0.2558	0.2000
plate01_A01_s000000	0.970297	0.2955	0.0185
plate01_B01_s000001	0.970297	0.2955	0.0185
plate09_C04_s000794	0.970297	0.2093	0.0000
plate09_E04_s000796	0.970297	0.3256	0.2364
plate11_H04_s000991	0.970297	0.2093	0.0000
plate10_C02_s000874	0.970297	0.2326	0.2727
plate02_A05_s000128	0.970297	0.2955	0.0000
plate01_A03_s000016	0.970297	0.1395	0.0000
plate11_G03_s000982	0.970297	0.3111	0.2642
plate09_D05_s000803	0.970297	0.3023	0.2727
plate03_C06_s000234	0.970297	0.2558	0.2909
plate02_C04_s000122	0.970297	0.2000	0.0000
plate01_C03_s000018	0.970297	0.1591	0.0000
plate11_F03_s000981	0.970297	0.3023	0.0364
plate11_F02_s000973	0.970297	0.2222	0.2830
plate02_E03_s000116	0.970297	0.2045	0.0185
plate03_B05_s000225	0.970297	0.3182	0.2778
plate11_E02_s000972	0.970297	0.2273	0.0185
plate03_C05_s000226	0.970297	0.2273	0.0185
plate03_F05_s000229	0.970297	0.2791	0.2545
plate10_F07_s000917	0.960396	0.3571	0.0000
plate05_E05_s000420	0.960396	0.1667	0.0000
plate02_F05_s000133	0.960396	0.1860	0.0185
plate08_G03_s000694	0.960396	0.2791	0.3519
plate07_H11_s000663	0.960396	0.1860	0.1852
plate08_F01_s000677	0.960396	0.2143	0.0545
plate10_D01_s000867	0.960396	0.2727	0.2830
plate05_H04_s000415	0.960396	0.2195	0.0000
plate05_G04_s000414	0.960396	0.2619	0.2909
plate05_F04_s000413	0.960396	0.2889	0.2885
plate02_C03_s000114	0.960396	0.3636	0.0000
plate05_E04_s000412	0.960396	0.1951	0.2500
plate01_A11_s000080	0.960396	0.3488	0.2222
plate05_B12_s000473	0.960396	0.1429	0.3091
plate01_F10_s000077	0.960396	0.3571	0.0000
plate10_A08_s000920	0.960396	0.1905	0.3273
plate05_C08_s000442	0.960396	0.1778	0.0192
plate02_B02_s000105	0.960396	0.2326	0.0185
plate08_A02_s000680	0.960396	0.2143	0.0364
plate08_B02_s000681	0.960396	0.3111	0.1538
plate05_A07_s000432	0.960396	0.1905	0.1455
plate10_G05_s000902	0.960396	0.2381	0.0364
plate05_C09_s000450	0.960396	0.1395	0.0370
plate05_F07_s000437	0.960396	0.2558	0.0185
plate02_F04_s000125	0.960396	0.2222	0.0192
plate02_C01_s000098	0.960396	0.2889	0.3269
plate02_F02_s000109	0.960396	0.2195	0.1964
plate10_A05_s000896	0.960396	0.3023	0.2037
plate02_A01_s000096	0.960396	0.1905	0.1818
plate02_B03_s000113	0.960396	0.2727	0.0189
plate05_G10_s000462	0.960396	0.3409	0.2642
plate08_H01_s000679	0.960396	0.2955	0.2642
plate07_B12_s000665	0.960396	0.1818	0.0189
plate05_A11_s000464	0.960396	0.2955	0.0377
plate10_D02_s000875	0.960396	0.2326	0.0000
plate05_A06_s000424	0.960396	0.1860	0.0370
plate08_B03_s000689	0.960396	0.1591	0.1887
plate08_G01_s000678	0.960396	0.3171	0.0000
plate07_E07_s000628	0.960396	0.2500	0.0000
plate10_H12_s000959	0.960396	0.2143	0.0000
plate01_G05_s000038	0.960396	0.2558	0.0185
plate11_D01_s000963	0.960396	0.3556	0.1731
plate01_D05_s000035	0.960396	0.2558	0.0185
plate11_H01_s000967	0.960396	0.2619	0.0182
plate01_G04_s000030	0.960396	0.2326	0.2963
plate06_G08_s000542	0.960396	0.3333	0.0000
plate01_E04_s000028	0.960396	0.1628	0.0000
plate01_D04_s000027	0.960396	0.1860	0.0185
plate07_D06_s000619	0.960396	0.2222	0.1923
plate06_D09_s000547	0.960396	0.3864	0.0377
plate06_F09_s000549	0.960396	0.3171	0.1429
plate11_C03_s000978	0.960396	0.2500	0.0189
plate06_D10_s000555	0.960396	0.2381	0.2727
plate07_A05_s000608	0.960396	0.2791	0.2593
plate06_A11_s000560	0.960396	0.2326	0.0185
plate01_H02_s000015	0.960396	0.2045	0.0189
plate01_C02_s000010	0.960396	0.2500	0.0189
plate06_F11_s000565	0.960396	0.3333	0.0364
plate06_G11_s000566	0.960396	0.2093	0.0185
plate01_B02_s000009	0.960396	0.1364	0.4151
plate01_A02_s000008	0.960396	0.1364	0.4151
plate07_F03_s000597	0.960396	0.2500	0.1509
plate01_D01_s000003	0.960396	0.2093	0.3704
plate07_G02_s000590	0.960396	0.3488	0.2407
plate07_E02_s000588	0.960396	0.2955	0.0189
plate01_C01_s000002	0.960396	0.2093	0.3704
plate07_D02_s000587	0.960396	0.2093	0.0185
plate07_G01_s000582	0.960396	0.1628	0.2407
plate10_E08_s000924	0.960396	0.2558	0.0000
plate06_F01_s000485	0.960396	0.2381	0.2545
plate06_G01_s000486	0.960396	0.3023	0.0000
plate06_H01_s000487	0.960396	0.2791	0.2037
plate07_D10_s000651	0.960396	0.1860	0.2593
plate01_E09_s000068	0.960396	0.1395	0.0000
plate10_H08_s000927	0.960396	0.3488	0.2407
plate06_F02_s000493	0.960396	0.1429	0.1455
plate01_H08_s000063	0.960396	0.2558	0.0370
plate06_E03_s000500	0.960396	0.2273	0.0189
plate10_G10_s000942	0.960396	0.3095	0.0000
plate06_H03_s000503	0.960396	0.2273	0.3019
plate01_H07_s000055	0.960396	0.2143	0.0000
plate01_D07_s000051	0.960396	0.1818	0.2642
plate06_F04_s000509	0.960396	0.2273	0.0000
plate07_H08_s000639	0.960396	0.3953	0.2222
plate06_H04_s000511	0.960396	0.2500	0.0566
plate06_A05_s000512	0.960396	0.2093	0.0185
plate06_B05_s000513	0.960396	0.2045	0.2264
plate06_E05_s000516	0.960396	0.3488	0.0000
plate10_D12_s000955	0.960396	0.1591	0.0000
plate01_G06_s000046	0.960396	0.2955	0.0566
plate06_B06_s000521	0.960396	0.1395	0.1852
plate06_C06_s000522	0.960396	0.2500	0.0189
plate06_E06_s000524	0.960396	0.2222	0.2308
plate07_G07_s000630	0.960396	0.2000	0.0000
plate06_H06_s000527	0.960396	0.1860	0.0370
plate06_A07_s000528	0.960396	0.3182	0.3585
plate06_B07_s000529	0.960396	0.2500	0.0189
plate06_C07_s000530	0.960396	0.2273	0.0000
plate08_C10_s000746	0.960396	0.2955	0.0000
plate08_A10_s000744	0.960396	0.1364	0.0377
plate04_D03_s000307	0.960396	0.2955	0.0189
plate09_H07_s000823	0.960396	0.3636	0.0377
plate04_F03_s000309	0.960396	0.0909	0.1887
plate04_H03_s000311	0.960396	0.3636	0.0000
plate03_F02_s000205	0.960396	0.2558	0.0185
plate03_C02_s000202	0.960396	0.2381	0.2727
plate04_F04_s000317	0.960396	0.1818	0.2264
plate04_G04_s000318	0.960396	0.2326	0.0556
plate03_H01_s000199	0.960396	0.2727	0.3396
plate04_A05_s000320	0.960396	0.3182	0.0189
plate03_G01_s000198	0.960396	0.2045	0.1887
plate08_D09_s000739	0.960396	0.1136	0.1887
plate03_E01_s000196	0.960396	0.1591	0.1887
plate09_H08_s000831	0.960396	0.2727	0.0000
plate04_B09_s000353	0.960396	0.2683	0.0000
plate09_A10_s000840	0.960396	0.2857	0.0364
plate04_G08_s000350	0.960396	0.2143	0.2000
plate04_F08_s000349	0.960396	0.2558	0.0741
plate09_G09_s000838	0.960396	0.3095	0.0182
plate04_D08_s000347	0.960396	0.2273	0.1887
plate08_C08_s000730	0.960396	0.2727	0.1887
plate02_D12_s000187	0.960396	0.2273	0.2264
plate09_C09_s000834	0.960396	0.1395	0.0556
plate08_F08_s000733	0.960396	0.3023	0.0185
plate04_C07_s000338	0.960396	0.1860	0.3148
plate04_H06_s000335	0.960396	0.2326	0.0185
plate04_G06_s000334	0.960396	0.1395	0.2407
plate09_A09_s000832	0.960396	0.3256	0.0185
plate03_A01_s000192	0.960396	0.3023	0.2222
plate03_B01_s000193	0.960396	0.1190	0.2364
plate04_B06_s000329	0.960396	0.2195	0.2500
plate03_B06_s000233	0.960396	0.2558	0.1852
plate09_C05_s000802	0.960396	0.2143	0.2182
plate03_G06_s000238	0.960396	0.3810	0.0364
plate09_B02_s000777	0.960396	0.2500	0.0189
plate09_C02_s000778	0.960396	0.2444	0.0000
plate09_B05_s000801	0.960396	0.1667	0.0545
plate09_F02_s000781	0.960396	0.2222	0.0192
plate03_A10_s000264	0.960396	0.3333	0.3455
plate09_G04_s000798	0.960396	0.4773	0.0755
plate09_G02_s000782	0.960396	0.1395	0.2407
plate09_F04_s000797	0.960396	0.1628	0.3148
plate09_A03_s000784	0.960396	0.2143	0.0182
plate03_G07_s000246	0.960396	0.1395	0.0370
plate09_A04_s000792	0.960396	0.3409	0.2075
plate03_G08_s000254	0.960396	0.3023	0.2963
plate03_F08_s000253	0.960396	0.2444	0.2692
plate09_H03_s000791	0.960396	0.1136	0.1698
plate09_G07_s000822	0.960396	0.3333	0.1455
plate09_F07_s000821	0.960396	0.2381	0.2909
plate09_E07_s000820	0.960396	0.2791	0.0000
plate09_D07_s000819	0.960396	0.2857	0.2182
plate04_C02_s000298	0.960396	0.2500	0.0189
plate09_B07_s000817	0.960396	0.3810	0.0182
plate08_C11_s000754	0.960396	0.2619	0.2000
plate08_F11_s000757	0.960396	0.2955	0.0377
plate04_D01_s000291	0.960396	0.1905	0.0364
plate09_D06_s000811	0.960396	0.2889	0.1923
plate09_H05_s000807	0.960396	0.3023	0.2593
plate08_C12_s000762	0.960396	0.2500	0.0000
plate03_G05_s000230	0.960396	0.4091	0.0189
plate03_C12_s000282	0.960396	0.2558	0.3889
plate09_E05_s000804	0.960396	0.1860	0.2407
plate03_A12_s000280	0.960396	0.2727	0.2830
plate03_A06_s000232	0.960396	0.1707	0.0357
plate08_D04_s000699	0.960396	0.2791	0.0000
plate02_B10_s000169	0.960396	0.2500	0.3019
plate02_A10_s000168	0.960396	0.3023	0.1667
plate05_F01_s000389	0.960396	0.3023	0.2963
plate05_A03_s000400	0.960396	0.2727	0.0377
plate02_F08_s000157	0.960396	0.2000	0.2308
plate08_F06_s000717	0.960396	0.1364	0.3019
plate02_G06_s000142	0.960396	0.2955	0.2264
plate02_G09_s000166	0.960396	0.3023	0.2407
plate05_C01_s000386	0.960396	0.1860	0.0370
plate02_F09_s000165	0.960396	0.1818	0.0377
plate02_C09_s000162	0.960396	0.2045	0.2642
plate05_B01_s000385	0.960396	0.2955	0.2830
plate04_G11_s000374	0.960396	0.2727	0.2453
plate04_H11_s000375	0.960396	0.1667	0.0545
plate02_B09_s000161	0.960396	0.1591	0.0189
plate04_G12_s000382	0.960396	0.2381	0.0182
plate02_H08_s000159	0.960396	0.2045	0.0000
plate08_A06_s000712	0.960396	0.3256	0.2593
plate02_E07_s000148	0.960396	0.1556	0.2885
plate08_F05_s000709	0.960396	0.2381	0.3091
plate09_C11_s000850	0.960396	0.2727	0.1698
plate05_D04_s000411	0.960396	0.3721	0.2407
plate05_B04_s000409	0.960396	0.2791	0.0000
plate02_B06_s000137	0.960396	0.2927	0.3393
plate05_H03_s000407	0.960396	0.1667	0.0000
plate02_D06_s000139	0.960396	0.3182	0.0000
plate04_C09_s000354	0.960396	0.2558	0.2963
plate02_D11_s000179	0.960396	0.3256	0.0370
plate08_B04_s000697	0.960396	0.1905	0.0182
plate09_E10_s000844	0.960396	0.3953	0.0185
plate02_A08_s000152	0.960396	0.1860	0.0000
plate04_G09_s000358	0.960396	0.2326	0.1296
plate08_B05_s000705	0.960396	0.2667	0.0192
plate05_E02_s000396	0.960396	0.3778	0.0192
plate02_E10_s000172	0.960396	0.2619	0.0182
plate02_D10_s000171	0.960396	0.2444	0.0000
plate04_C10_s000362	0.960396	0.3409	0.2264
plate09_D11_s000851	0.960396	0.2791	0.0370
plate05_C03_s000402	0.960396	0.3023	0.0000
plate09_D12_s000859	0.950495	0.2439	0.2545
plate07_D05_s000611	0.950495	0.3721	0.0000
plate08_A05_s000704	0.950495	0.4524	0.2778
plate11_D03_s000979	0.950495	0.3023	0.0189
plate09_D01_s000771	0.950495	0.2143	0.1852
plate10_F02_s000877	0.950495	0.2619	0.3148
plate09_B01_s000769	0.950495	0.2791	0.2642
plate10_B03_s000881	0.950495	0.2381	0.0370
plate07_A02_s000584	0.950495	0.2857	0.0926
plate07_F02_s000589	0.950495	0.2683	0.0182
plate09_D04_s000795	0.950495	0.2143	0.2222
plate10_B01_s000865	0.950495	0.2857	0.2778
plate07_B03_s000593	0.950495	0.2791	0.2075
plate07_C03_s000594	0.950495	0.3571	0.1111
plate11_C05_s000994	0.950495	0.2143	0.0370
plate10_A01_s000864	0.950495	0.1905	0.2778
plate10_A02_s000872	0.950495	0.3095	0.0185
