sample	cr	het	duplicate	gender	identity	xydiff
plate06_H05_s000519	0.940594	0.2381	1	1	1	1
plate09_E03_s000788	0.940594	0.2326	1	1	1	1
plate09_G03_s000790	0.940594	0.2045	1	1	1	1
plate06_A06_s000520	0.940594	0.2326	1	1	1	1
plate07_A08_s000632	0.940594	0.1190	1	1	1	1
plate09_B04_s000793	0.940594	0.2326	1	1	1	1
plate03_F07_s000245	0.940594	0.3000	1	1	1	1
plate03_A07_s000240	0.940594	0.1667	1	1	1	1
plate09_A05_s000800	0.940594	0.3182	1	1	1	1
plate03_F06_s000237	0.940594	0.3095	1	1	1	1
plate03_H05_s000231	0.940594	0.2558	1	1	1	1
plate03_E05_s000228	0.940594	0.2791	1	1	1	1
plate09_F06_s000813	0.940594	0.2326	1	1	1	1
plate09_G06_s000814	0.940594	0.2683	1	0	1	1
plate03_C04_s000218	0.940594	0.1951	1	1	1	1
plate03_F03_s000213	0.940594	0.0714	1	1	1	1
plate03_E03_s000212	0.940594	0.2143	1	1	1	1
plate09_B08_s000825	0.940594	0.1905	1	1	1	1
plate06_E08_s000540	0.940594	0.1905	1	1	1	1
plate06_F08_s000541	0.940594	0.2273	1	1	1	1
plate03_D02_s000203	0.940594	0.2045	1	1	1	1
plate06_H08_s000543	0.940594	0.2667	1	1	1	1
plate07_C06_s000618	0.940594	0.2791	1	1	1	1
plate07_B06_s000617	0.940594	0.2619	1	1	1	1
plate02_G11_s000182	0.940594	0.1860	1	1	1	1
plate02_E11_s000180	0.940594	0.2927	1	1	1	1
plate02_B11_s000177	0.940594	0.2619	1	1	1	1
plate10_F10_s000941	0.940594	0.2273	1	1	1	1
plate10_G11_s000950	0.940594	0.2558	1	1	1	1
plate10_H11_s000951	0.940594	0.2439	1	1	1	1
plate10_C12_s000954	0.940594	0.3488	1	1	1	1
plate01_A07_s000048	0.940594	0.2791	1	1	1	1
plate01_F06_s000045	0.940594	0.0976	1	1	1	1
plate01_A06_s000040	0.940594	0.3095	1	1	1	1
plate11_B01_s000961	0.940594	0.4634	1	1	1	1
plate01_F05_s000037	0.940594	0.1667	1	1	1	1
plate01_C05_s000034	0.940594	0.3721	1	0	1	1
plate11_B02_s000969	0.940594	0.2791	1	1	1	1
plate01_C04_s000026	0.940594	0.2250	1	1	1	1
plate11_D02_s000971	0.940594	0.2093	1	1	1	1
plate01_B04_s000025	0.940594	0.2619	1	1	1	1
plate01_H03_s000023	0.940594	0.2857	1	1	1	1
plate11_H02_s000975	0.940594	0.3659	1	1	1	1
plate11_B03_s000977	0.940594	0.3111	1	1	1	1
plate11_E03_s000980	0.940594	0.2727	1	1	1	1
plate01_D03_s000019	0.940594	0.2927	1	1	1	1
plate11_A04_s000984	0.940594	0.2558	1	1	1	1
plate11_E04_s000988	0.940594	0.1190	1	1	1	1
plate11_F04_s000989	0.940594	0.2791	1	1	1	1
plate01_H01_s000007	0.940594	0.1395	0	1	1	1
plate11_B05_s000993	0.940594	0.3333	1	1	1	1
plate01_G01_s000006	0.940594	0.1395	1	1	1	1
plate10_B02_s000873	0.940594	0.2750	1	1	1	1
plate02_B04_s000121	0.940594	0.2857	1	1	1	1
plate02_A04_s000120	0.940594	0.1707	1	1	1	1
plate10_C03_s000882	0.940594	0.2273	1	1	1	1
plate02_H03_s000119	0.940594	0.2326	1	1	1	1
plate06_B11_s000561	0.940594	0.3000	1	1	1	1
plate07_E04_s000604	0.940594	0.1905	1	1	1	1
plate10_C04_s000890	0.940594	0.2750	1	1	1	1
plate10_G04_s000894	0.940594	0.2857	1	1	1	1
plate10_E05_s000900	0.940594	0.0732	1	1	1	1
plate10_F05_s000901	0.940594	0.3023	1	1	1	1
plate06_E11_s000564	0.940594	0.2250	1	1	1	1
plate10_C06_s000906	0.940594	0.2143	1	1	1	1
plate10_E06_s000908	0.940594	0.1591	1	1	1	1
plate01_E12_s000092	0.940594	0.2667	1	1	1	1
plate10_H06_s000911	0.940594	0.3333	1	1	1	1
plate07_H03_s000599	0.940594	0.2381	1	1	1	1
plate01_A12_s000088	0.940594	0.1905	1	1	1	1
plate01_G11_s000086	0.940594	0.3023	1	1	1	0
plate01_E10_s000076	0.940594	0.2439	1	1	1	1
plate01_F09_s000069	0.940594	0.3095	1	1	1	1
plate01_B09_s000065	0.940594	0.2093	1	1	1	1
plate01_G08_s000062	0.940594	0.2619	1	1	1	1
plate10_A10_s000936	0.940594	0.2273	1	1	1	1
plate01_E08_s000060	0.940594	0.1707	1	1	1	1
plate01_D08_s000059	0.940594	0.3182	1	1	1	1
plate06_C01_s000482	0.940594	0.1591	1	1	1	1
plate04_A10_s000360	0.940594	0.2558	1	0	1	1
plate08_F07_s000725	0.940594	0.2955	1	1	1	1
plate04_E07_s000340	0.940594	0.2791	1	1	1	1
plate06_A02_s000488	0.940594	0.3250	1	1	1	1
plate04_B07_s000337	0.940594	0.2619	1	1	1	1
plate04_F05_s000325	0.940594	0.2326	1	1	1	1
plate04_B05_s000321	0.940594	0.2619	1	1	1	1
plate08_G09_s000742	0.940594	0.3256	1	1	1	1
plate08_B10_s000745	0.940594	0.2683	1	1	1	1
plate06_B03_s000497	0.940594	0.1860	1	1	1	1
plate04_E02_s000300	0.940594	0.2093	1	1	1	1
plate08_B11_s000753	0.940594	0.2195	1	1	1	1
plate08_D11_s000755	0.940594	0.3250	1	1	1	1
plate04_F01_s000293	0.940594	0.2143	1	0	1	1
plate08_G11_s000758	0.940594	0.2195	1	1	1	1
plate04_E01_s000292	0.940594	0.2727	1	1	1	1
plate03_G12_s000286	0.940594	0.2857	1	1	1	1
plate08_B12_s000761	0.940594	0.2326	1	1	1	1
plate03_E12_s000284	0.940594	0.3256	1	1	1	0
plate05_D10_s000459	0.940594	0.1860	1	1	1	1
plate05_B10_s000457	0.940594	0.3256	1	1	1	1
plate07_E12_s000668	0.940594	0.1667	1	1	1	1
plate07_F12_s000669	0.940594	0.1628	1	1	1	1
plate05_H10_s000463	0.940594	0.3256	1	1	1	1
plate05_F09_s000453	0.940594	0.2326	1	1	1	1
plate05_E08_s000444	0.940594	0.1463	1	1	1	1
plate08_E01_s000676	0.940594	0.1860	1	1	1	1
plate05_A08_s000440	0.940594	0.1905	1	1	1	1
plate05_H07_s000439	0.940594	0.3409	1	1	1	1
plate05_H05_s000423	0.940594	0.2143	1	1	1	1
plate08_D03_s000691	0.940594	0.2667	1	1	1	1
plate08_E03_s000692	0.940594	0.2093	1	1	1	1
plate05_D03_s000403	0.940594	0.2683	1	1	1	1
plate05_A02_s000392	0.940594	0.1951	1	1	1	1
plate04_E12_s000380	0.940594	0.2326	1	1	1	1
plate04_D12_s000379	0.940594	0.2143	1	1	1	1
plate04_B12_s000377	0.940594	0.2857	1	1	1	1
plate04_C11_s000370	0.940594	0.2143	1	1	1	1
plate08_E06_s000716	0.940594	0.1951	1	1	1	1
plate04_G10_s000366	0.940594	0.1707	1	1	1	1
plate09_A02_s000776	0.940594	0.2381	1	1	1	1
plate08_H12_s000767	0.940594	0.2273	1	0	1	1
plate03_G11_s000278	0.940594	0.2619	1	1	1	1
plate07_A09_s000640	0.940594	0.2439	1	1	1	1
plate09_E02_s000780	0.940594	0.2381	1	1	1	1
plate06_F05_s000517	0.940594	0.2955	1	1	1	1
plate09_C01_s000770	0.940594	0.3023	1	1	1	1
plate03_G09_s000262	0.940594	0.2045	1	1	1	1
plate06_A04_s000504	0.940594	0.3864	1	1	1	1
plate06_F06_s000525	0.930693	0.2558	1	1	1	1
plate10_D06_s000907	0.930693	0.3023	1	1	1	1
plate08_A08_s000728	0.930693	0.2683	1	1	1	1
plate03_H07_s000247	0.930693	0.1951	1	1	1	1
plate04_F09_s000357	0.930693	0.3488	1	1	1	1
plate04_A11_s000368	0.930693	0.2727	1	1	1	1
plate10_H05_s000903	0.930693	0.1220	1	0	1	1
plate10_D03_s000883	0.930693	0.3778	1	1	1	1
plate06_A01_s000480	0.930693	0.3095	1	1	1	1
plate06_H12_s000575	0.930693	0.2791	1	1	1	1
plate08_G07_s000726	0.930693	0.3023	1	1	1	1
plate02_F01_s000101	0.930693	0.3810	1	1	1	1
plate07_A01_s000576	0.930693	0.2564	1	1	1	1
plate07_F07_s000629	0.930693	0.2439	1	1	1	1
plate06_C05_s000514	0.930693	0.1860	1	1	1	1
plate06_E01_s000484	0.930693	0.2439	1	1	1	1
plate10_F04_s000893	0.930693	0.2273	1	1	1	1
plate01_E05_s000036	0.930693	0.3333	1	1	1	1
plate04_B10_s000361	0.930693	0.2381	1	1	1	1
plate10_B04_s000889	0.930693	0.1707	1	1	1	1
plate09_F05_s000805	0.930693	0.2791	1	1	1	1
plate10_H03_s000887	0.930693	0.2381	1	1	1	1
plate03_E07_s000244	0.930693	0.3902	1	1	1	1
plate01_C08_s000058	0.930693	0.3171	1	1	1	1
plate05_G02_s000398	0.930693	0.1628	1	1	1	1
plate05_A04_s000408	0.930693	0.1951	1	1	1	1
plate10_D09_s000931	0.930693	0.1395	1	1	1	1
plate10_C09_s000930	0.930693	0.3095	1	1	1	1
plate08_H04_s000703	0.930693	0.2857	1	1	1	1
plate01_C09_s000066	0.930693	0.2273	1	1	1	1
plate01_E07_s000052	0.930693	0.3409	1	1	1	1
plate05_D02_s000395	0.930693	0.2143	1	1	1	1
plate10_F08_s000925	0.930693	0.2381	1	1	1	1
plate01_H09_s000071	0.930693	0.2750	1	1	1	1
plate01_A10_s000072	0.930693	0.3000	1	1	1	1
plate10_C08_s000922	0.930693	0.1000	1	1	1	1
plate10_D11_s000947	0.930693	0.3810	1	1	1	1
plate06_G04_s000510	0.930693	0.2683	1	1	1	1
plate01_C07_s000050	0.930693	0.2619	1	1	1	1
plate03_B07_s000241	0.930693	0.2857	1	1	1	1
plate04_C12_s000378	0.930693	0.2619	1	1	1	1
plate10_F11_s000949	0.930693	0.2727	1	1	1	1
plate05_B05_s000417	0.930693	0.1667	1	1	1	1
plate10_B07_s000913	0.930693	0.1429	1	1	1	1
plate08_H05_s000711	0.930693	0.2326	1	1	1	1
plate08_F03_s000693	0.930693	0.2727	1	1	1	1
plate10_A12_s000952	0.930693	0.2619	1	1	1	1
plate09_C12_s000858	0.930693	0.3333	1	1	1	1
plate07_E05_s000612	0.930693	0.2857	1	1	1	1
plate02_B08_s000153	0.930693	0.2439	1	1	1	1
plate09_H11_s000855	0.930693	0.2857	1	1	1	1
plate07_F05_s000613	0.930693	0.3333	1	1	1	1
plate03_A05_s000224	0.930693	0.2558	1	1	1	1
plate04_B03_s000305	0.930693	0.3333	1	1	1	1
plate06_A03_s000496	0.930693	0.3571	1	1	1	1
plate03_E10_s000268	0.930693	0.3158	1	1	1	1
plate02_G10_s000174	0.930693	0.1818	1	1	1	1
plate09_G10_s000846	0.930693	0.4419	1	1	1	1
plate05_E09_s000452	0.930693	0.2955	1	1	1	1
plate11_D04_s000987	0.930693	0.2857	1	1	1	1
plate06_F07_s000533	0.930693	0.2000	1	1	1	1
plate06_C09_s000546	0.930693	0.2619	1	1	1	1
plate03_E08_s000252	0.930693	0.3333	1	1	1	1
plate02_B12_s000185	0.930693	0.3488	1	1	1	1
plate03_H08_s000255	0.930693	0.1667	1	1	1	1
plate09_B09_s000833	0.930693	0.1591	1	1	1	1
plate01_D02_s000011	0.930693	0.2195	1	1	1	1
plate08_E11_s000756	0.930693	0.1860	1	1	1	1
plate09_C07_s000818	0.930693	0.2500	1	0	1	1
plate06_H07_s000535	0.930693	0.1860	1	1	1	1
plate06_B08_s000537	0.930693	0.1905	1	1	1	1
plate03_B09_s000257	0.930693	0.2000	1	1	1	1
plate07_D08_s000635	0.930693	0.2195	1	1	1	1
plate08_B08_s000729	0.930693	0.2195	1	1	1	1
plate07_B01_s000577	0.930693	0.2927	1	1	1	1
plate02_C05_s000130	0.930693	0.2045	1	1	1	1
plate02_D05_s000131	0.930693	0.2857	1	1	1	1
plate04_B08_s000345	0.930693	0.1951	1	1	1	1
plate07_E10_s000652	0.930693	0.2619	1	1	1	1
plate06_E10_s000556	0.930693	0.1579	1	1	1	1
plate03_H11_s000279	0.930693	0.1860	1	1	1	1
plate09_A06_s000808	0.930693	0.3023	1	1	1	1
plate10_E01_s000868	0.930693	0.3095	1	1	1	1
plate09_B06_s000809	0.930693	0.2326	1	1	1	1
plate09_A01_s000768	0.930693	0.1429	1	1	1	1
plate04_D05_s000323	0.930693	0.2791	1	1	1	1
plate09_C06_s000810	0.930693	0.3023	1	1	1	1
plate04_D06_s000331	0.930693	0.3095	1	1	1	1
plate08_B09_s000737	0.930693	0.2222	1	1	1	1
plate02_E06_s000140	0.930693	0.2857	1	1	1	1
plate05_H06_s000431	0.930693	0.2326	1	1	1	1
plate11_C01_s000962	0.920792	0.1951	1	1	1	1
plate07_D01_s000579	0.920792	0.2195	1	1	1	1
plate05_D07_s000435	0.920792	0.2927	1	0	1	1
plate01_E02_s000012	0.920792	0.2143	1	1	1	1
plate05_H11_s000471	0.920792	0.2308	1	1	1	1
plate07_H02_s000591	0.920792	0.1951	1	1	1	1
plate03_D10_s000267	0.920792	0.2791	1	1	1	1
plate11_F01_s000965	0.920792	0.2045	1	1	1	1
plate05_F06_s000429	0.920792	0.4000	1	1	1	1
plate01_F04_s000029	0.920792	0.2326	1	1	1	1
plate10_H10_s000943	0.920792	0.1628	1	1	1	1
plate07_C02_s000586	0.920792	0.2143	1	1	1	1
plate01_B08_s000057	0.920792	0.2439	1	1	1	1
plate05_D06_s000427	0.920792	0.3333	1	1	1	1
plate08_H10_s000751	0.920792	0.1220	1	1	1	1
plate07_C10_s000650	0.920792	0.3095	1	1	1	1
plate06_B02_s000489	0.920792	0.2821	1	1	1	1
plate08_H06_s000719	0.920792	0.1628	1	1	1	1
plate02_F11_s000181	0.920792	0.2619	1	1	1	1
plate04_B11_s000369	0.920792	0.2250	1	1	1	1
plate04_A12_s000376	0.920792	0.1818	1	1	1	1
plate06_B09_s000545	0.920792	0.3750	1	1	1	1
plate06_E04_s000508	0.920792	0.2750	1	0	1	1
plate10_C07_s000914	0.920792	0.3000	1	1	1	1
plate07_F09_s000645	0.920792	0.3095	1	1	1	1
plate09_H06_s000815	0.920792	0.4048	1	1	1	1
plate06_D12_s000571	0.920792	0.3000	1	1	1	1
plate09_D10_s000843	0.920792	0.2558	1	1	1	1
plate01_A09_s000064	0.920792	0.3571	1	1	1	1
plate10_H09_s000935	0.920792	0.1818	1	1	1	1
plate08_E12_s000764	0.920792	0.1860	1	1	1	1
plate02_H10_s000175	0.910891	0.2619	1	1	1	1
plate05_G07_s000438	0.910891	0.1860	1	1	1	1
plate07_C08_s000634	0.910891	0.2683	1	1	1	1
plate08_G12_s000766	0.910891	0.1579	1	1	1	1
plate05_D09_s000451	0.910891	0.1220	1	1	1	1
plate08_G10_s000750	0.910891	0.2195	1	1	1	1
plate01_B03_s000017	0.910891	0.2857	1	1	1	1
plate02_B05_s000129	0.910891	0.2564	1	1	1	1
plate08_E02_s000684	0.910891	0.1842	1	1	1	1
plate02_H04_s000127	0.910891	0.3721	1	1	1	1
plate07_A07_s000624	0.910891	0.1707	1	1	1	1
plate11_A05_s000992	0.910891	0.1463	1	0	1	1
plate09_C08_s000826	0.910891	0.3590	1	1	1	1
plate10_E09_s000932	0.910891	0.2927	1	1	1	1
plate05_A05_s000416	0.910891	0.1750	1	1	1	1
plate06_E12_s000572	0.910891	0.2632	1	1	1	1
plate05_A01_s000384	0.910891	0.3500	1	1	1	1
plate07_G03_s000598	0.910891	0.2000	1	1	1	1
plate04_H01_s000295	0.910891	0.3171	1	1	1	1
plate02_E01_s000100	0.910891	0.3333	1	1	1	1
plate02_H01_s000103	0.910891	0.2857	1	1	1	1
plate02_A02_s000104	0.910891	0.1750	1	1	1	1
plate10_H04_s000895	0.910891	0.3333	1	1	1	1
plate10_E04_s000892	0.910891	0.2250	1	1	1	1
plate05_B06_s000425	0.910891	0.3077	1	1	1	1
plate08_A11_s000752	0.910891	0.2308	1	1	1	1
plate09_G05_s000806	0.910891	0.1860	1	1	1	1
plate01_F02_s000013	0.900990	0.1463	1	1	1	1
plate10_G02_s000878	0.900990	0.1707	1	1	1	1
plate02_E04_s000124	0.900990	0.2195	1	1	1	1
plate05_C12_s000474	0.900990	0.3171	1	1	1	1
plate10_B12_s000953	0.900990	0.2439	1	1	1	1
plate10_G06_s000910	0.900990	0.2857	1	1	1	1
plate05_E12_s000476	0.900990	0.3590	1	1	1	1
plate08_E04_s000700	0.900990	0.2619	1	0	1	1
plate01_F08_s000061	0.900990	0.0952	1	1	1	1
plate11_H03_s000983	0.891089	0.2619	1	1	1	1
plate06_C11_s000562	0.891089	0.2821	1	1	1	1
plate03_E04_s000220	0.891089	0.2564	1	1	1	1
plate05_F12_s000477	0.891089	0.1190	1	1	1	1
