#Sample	CR	autosomal_het	x_het
#stats from 97/210 SNPs with CR >= 95%
s000527	0.979381	0.2340	0.3125
s000541	0.979381	0.2500	0.0213
s000858	0.979381	0.1667	0.0426
s000712	0.979381	0.1633	0.2609
s000833	0.979381	0.3333	0.2128
s000551	0.979381	0.1429	0.1522
s000556	0.979381	0.2708	0.2340
s000560	0.979381	0.1458	0.2766
s000046	0.979381	0.1837	0.0217
s000165	0.979381	0.3542	0.2766
s000116	0.979381	0.2708	0.0213
s000099	0.979381	0.1915	0.0417
s000153	0.979381	0.2500	0.0213
s000012	0.979381	0.1489	0.2083
s000075	0.979381	0.2653	0.3261
s000131	0.979381	0.2917	0.1702
s000038	0.979381	0.3830	0.2708
s000022	0.979381	0.1837	0.3261
s000052	0.979381	0.2857	0.0000
s000044	0.979381	0.2128	0.2083
s000559	0.969072	0.2708	0.3261
s000098	0.969072	0.2826	0.0208
s000548	0.969072	0.2553	0.0638
s000545	0.969072	0.2708	0.3043
s000534	0.969072	0.2553	0.2128
s000528	0.969072	0.2128	0.2553
s000104	0.969072	0.1915	0.2128
s000526	0.969072	0.2708	0.4130
s000524	0.969072	0.2553	0.2340
s000520	0.969072	0.2708	0.1957
s000108	0.969072	0.1957	0.0000
s000109	0.969072	0.2340	0.0213
s000507	0.969072	0.2245	0.2889
s000673	0.969072	0.2979	0.2553
s000669	0.969072	0.2553	0.0213
s000668	0.969072	0.1957	0.3542
s000667	0.969072	0.1957	0.2708
s000659	0.969072	0.2500	0.0217
s000648	0.969072	0.3750	0.0217
s000647	0.969072	0.2979	0.2128
s000626	0.969072	0.2826	0.2292
s000623	0.969072	0.1667	0.4783
s000620	0.969072	0.2766	0.0000
s000606	0.969072	0.1458	0.0217
s000596	0.969072	0.2128	0.0000
s000594	0.969072	0.1064	0.2979
s000593	0.969072	0.2292	0.0000
s000588	0.969072	0.1702	0.2553
s000584	0.969072	0.2766	0.2340
s000091	0.969072	0.2653	0.0000
s000574	0.969072	0.2292	0.0217
s000569	0.969072	0.2083	0.2826
s000565	0.969072	0.2917	0.0000
s000430	0.969072	0.2340	0.1489
s000427	0.969072	0.2766	0.0213
s000413	0.969072	0.2766	0.0213
s000126	0.969072	0.2500	0.0000
s000409	0.969072	0.2766	0.1915
s000127	0.969072	0.2391	0.2083
s000405	0.969072	0.2449	0.0222
s000403	0.969072	0.3617	0.0213
s000129	0.969072	0.1458	0.0000
s000394	0.969072	0.3261	0.0208
s000390	0.969072	0.3478	0.1250
s000387	0.969072	0.2917	0.1739
s000383	0.969072	0.2128	0.0000
s000379	0.969072	0.1250	0.0217
s000135	0.969072	0.2128	0.0213
s000370	0.969072	0.2766	0.1702
s000138	0.969072	0.2083	0.0000
s000365	0.969072	0.1915	0.1277
s000354	0.969072	0.1667	0.2609
s000341	0.969072	0.2292	0.0000
s000110	0.969072	0.2292	0.0000
s000111	0.969072	0.1702	0.2766
s000500	0.969072	0.2292	0.1304
s000499	0.969072	0.2553	0.0426
s000492	0.969072	0.2766	0.2340
s000491	0.969072	0.1042	0.0217
s000490	0.969072	0.3125	0.2609
s000117	0.969072	0.2391	0.0417
s000118	0.969072	0.2340	0.0213
s000487	0.969072	0.2245	0.2000
s000470	0.969072	0.2128	0.3404
s000469	0.969072	0.2917	0.1957
s000468	0.969072	0.2553	0.0851
s000454	0.969072	0.1915	0.0000
s000449	0.969072	0.3333	0.0217
s000444	0.969072	0.1875	0.0217
s000440	0.969072	0.2553	0.0000
s000439	0.969072	0.3191	0.0000
s000438	0.969072	0.2500	0.0000
s000437	0.969072	0.3125	0.3261
s000026	0.969072	0.3125	0.0000
s000896	0.969072	0.2500	0.3043
s000027	0.969072	0.2766	0.1277
s000893	0.969072	0.3043	0.2708
s000892	0.969072	0.2917	0.3478
s000890	0.969072	0.2766	0.2553
s000889	0.969072	0.2245	0.3111
s000028	0.969072	0.1875	0.0000
s000887	0.969072	0.2979	0.0000
s000883	0.969072	0.2609	0.2292
s000876	0.969072	0.2766	0.2979
s000872	0.969072	0.4043	0.2340
s000871	0.969072	0.1667	0.0435
s000868	0.969072	0.3191	0.0213
s000866	0.969072	0.1875	0.3478
s000862	0.969072	0.3061	0.0222
s000860	0.969072	0.2340	0.1915
s000032	0.969072	0.2979	0.2128
s000850	0.969072	0.2708	0.0000
s000989	0.969072	0.1915	0.2766
s000987	0.969072	0.3958	0.1304
s000981	0.969072	0.2979	0.1489
s000972	0.969072	0.0833	0.0000
s000970	0.969072	0.2292	0.2391
s000010	0.969072	0.2083	0.2391
s000011	0.969072	0.2340	0.1915
s000013	0.969072	0.2340	0.2766
s000946	0.969072	0.3265	0.3778
s000945	0.969072	0.2766	0.0213
s000015	0.969072	0.2979	0.0213
s000934	0.969072	0.2917	0.1739
s000017	0.969072	0.2128	0.0000
s000929	0.969072	0.2708	0.1957
s000920	0.969072	0.3265	0.2667
s000919	0.969072	0.2340	0.1915
s000912	0.969072	0.2245	0.0444
s000906	0.969072	0.2340	0.2340
s000024	0.969072	0.3261	0.0000
s000903	0.969072	0.2245	0.0667
s000765	0.969072	0.1915	0.2766
s000051	0.969072	0.2766	0.4043
s000763	0.969072	0.2340	0.3191
s000760	0.969072	0.2340	0.0213
s000054	0.969072	0.1458	0.3261
s000749	0.969072	0.2500	0.0217
s000055	0.969072	0.2391	0.3125
s000744	0.969072	0.4167	0.0217
s000739	0.969072	0.1915	0.0213
s000058	0.969072	0.3261	0.2292
s000725	0.969072	0.2653	0.0222
s000718	0.969072	0.3043	0.3542
s000716	0.969072	0.2826	0.0833
s000713	0.969072	0.3673	0.0000
s000702	0.969072	0.2500	0.0000
s000694	0.969072	0.2083	0.0000
s000693	0.969072	0.2391	0.0417
s000689	0.969072	0.2857	0.2667
s000679	0.969072	0.1915	0.2766
s000848	0.969072	0.1458	0.0435
s000843	0.969072	0.2917	0.0870
s000835	0.969072	0.2391	0.2500
s000033	0.969072	0.2857	0.2444
s000828	0.969072	0.2500	0.3261
s000825	0.969072	0.2340	0.0213
s000823	0.969072	0.1667	0.3261
s000821	0.969072	0.2128	0.0213
s000819	0.969072	0.2979	0.2128
s000809	0.969072	0.1915	0.2979
s000802	0.969072	0.2609	0.2292
s000801	0.969072	0.1957	0.0208
s000043	0.969072	0.3404	0.0000
s000788	0.969072	0.2391	0.3125
s000785	0.969072	0.1458	0.3043
s000045	0.969072	0.2083	0.2391
s000780	0.969072	0.2917	0.2609
s000047	0.969072	0.2979	0.0000
s000775	0.969072	0.3125	0.0217
s000774	0.969072	0.2708	0.2609
s000162	0.969072	0.1042	0.0217
s000330	0.969072	0.3125	0.0000
s000204	0.969072	0.2292	0.2391
s000328	0.969072	0.2708	0.0435
s000315	0.969072	0.1915	0.0000
s000181	0.969072	0.1667	0.2391
s000251	0.969072	0.3333	0.1957
s000184	0.969072	0.2979	0.0213
s000167	0.969072	0.2245	0.2667
s000275	0.969072	0.2292	0.3043
s000168	0.969072	0.3265	0.1778
s000210	0.969072	0.2245	0.0222
s000150	0.969072	0.1489	0.1702
s000237	0.969072	0.2979	0.2128
s000267	0.969072	0.2917	0.1522
s000295	0.969072	0.2340	0.2766
s000189	0.969072	0.3125	0.2174
s000243	0.969072	0.3043	0.0000
s000174	0.969072	0.2500	0.0000
s000264	0.969072	0.1875	0.2826
s000279	0.969072	0.2245	0.0000
s000260	0.969072	0.3333	0.0217
s000187	0.969072	0.2609	0.0208
s000213	0.969072	0.1875	0.0435
s000283	0.969072	0.3043	0.0000
s000245	0.969072	0.2917	0.2609
s000322	0.969072	0.1739	0.2500
s000241	0.958763	0.2826	0.2128
s000536	0.958763	0.2449	0.2500
s000550	0.958763	0.2609	0.0000
s000050	0.958763	0.1739	0.0213
s000772	0.958763	0.2128	0.0217
s000547	0.958763	0.3469	0.3182
s000768	0.958763	0.2708	0.0444
s000786	0.958763	0.2083	0.0444
s000539	0.958763	0.2340	0.2391
s000049	0.958763	0.2128	0.0217
s000048	0.958763	0.2553	0.2609
s000161	0.958763	0.2128	0.0217
s000553	0.958763	0.3556	0.1875
s000234	0.958763	0.1739	0.3617
s000781	0.958763	0.2128	0.0000
s000102	0.958763	0.1837	0.2273
s000543	0.958763	0.2766	0.0435
s000506	0.958763	0.2174	0.0426
s000814	0.958763	0.1277	0.0000
s000224	0.958763	0.2083	0.0000
s000297	0.958763	0.3333	0.2222
s000298	0.958763	0.2917	0.0222
s000824	0.958763	0.1957	0.2553
s000149	0.958763	0.1702	0.1957
s000826	0.958763	0.2553	0.4130
s000830	0.958763	0.2826	0.2128
s000301	0.958763	0.3333	0.1556
s000303	0.958763	0.2500	0.0444
s000304	0.958763	0.2340	0.0000
s000305	0.958763	0.4130	0.1702
s000218	0.958763	0.3261	0.0213
s000837	0.958763	0.3696	0.3404
s000480	0.958763	0.2553	0.3478
s000479	0.958763	0.2917	0.1556
s000791	0.958763	0.3261	0.2340
s000793	0.958763	0.3404	0.3261
s000796	0.958763	0.2292	0.0222
s000288	0.958763	0.3958	0.2889
s000797	0.958763	0.3125	0.2000
s000290	0.958763	0.2826	0.0000
s000523	0.958763	0.2917	0.2000
s000228	0.958763	0.1250	0.1333
s000519	0.958763	0.2766	0.2609
s000807	0.958763	0.2500	0.0222
s000107	0.958763	0.2083	0.0222
s000810	0.958763	0.2553	0.2826
s000292	0.958763	0.2174	0.2979
s000512	0.958763	0.2128	0.0000
s000293	0.958763	0.2222	0.0417
s000510	0.958763	0.2174	0.2340
s000508	0.958763	0.3043	0.2340
s000081	0.958763	0.2826	0.0000
s000253	0.958763	0.1778	0.0417
s000709	0.958763	0.2553	0.2391
s000707	0.958763	0.2826	0.0000
s000705	0.958763	0.2708	0.2222
s000703	0.958763	0.2708	0.1778
s000701	0.958763	0.1277	0.0000
s000617	0.958763	0.2245	0.2045
s000698	0.958763	0.2340	0.2609
s000269	0.958763	0.1915	0.1957
s000697	0.958763	0.3750	0.0000
s000696	0.958763	0.1489	0.2609
s000255	0.958763	0.2174	0.2979
s000256	0.958763	0.3261	0.2979
s000068	0.958763	0.2128	0.2174
s000683	0.958763	0.2128	0.0435
s000682	0.958763	0.3913	0.3191
s000258	0.958763	0.3696	0.0000
s000632	0.958763	0.2444	0.2083
s000677	0.958763	0.2826	0.2979
s000635	0.958763	0.2766	0.0000
s000636	0.958763	0.2174	0.0213
s000640	0.958763	0.3043	0.2979
s000641	0.958763	0.2174	0.0213
s000670	0.958763	0.3617	0.3043
s000073	0.958763	0.4222	0.0208
s000262	0.958763	0.2609	0.1702
s000666	0.958763	0.2292	0.0000
s000663	0.958763	0.2000	0.0208
s000661	0.958763	0.2500	0.2444
s000660	0.958763	0.2174	0.2128
s000654	0.958763	0.2708	0.2222
s000160	0.958763	0.1702	0.2174
s000097	0.958763	0.2391	0.2553
s000561	0.958763	0.2174	0.0426
s000095	0.958763	0.2128	0.0435
s000151	0.958763	0.1458	0.2000
s000244	0.958763	0.2500	0.2222
s000570	0.958763	0.2766	0.0000
s000751	0.958763	0.1458	0.2667
s000746	0.958763	0.3469	0.2500
s000093	0.958763	0.2083	0.0000
s000743	0.958763	0.2245	0.0455
s000578	0.958763	0.1702	0.1739
s000092	0.958763	0.2553	0.2609
s000737	0.958763	0.3191	0.0000
s000736	0.958763	0.2979	0.1522
s000735	0.958763	0.2609	0.0213
s000734	0.958763	0.3261	0.0213
s000586	0.958763	0.2553	0.2826
s000587	0.958763	0.3125	0.0000
s000732	0.958763	0.1957	0.2128
s000591	0.958763	0.2609	0.3191
s000729	0.958763	0.2553	0.0870
s000273	0.958763	0.2708	0.0000
s000728	0.958763	0.3261	0.1702
s000727	0.958763	0.1915	0.3261
s000085	0.958763	0.2708	0.3111
s000061	0.958763	0.2979	0.0000
s000601	0.958763	0.2979	0.0000
s000083	0.958763	0.2174	0.2553
s000603	0.958763	0.2826	0.0426
s000062	0.958763	0.1957	0.0000
s000082	0.958763	0.1957	0.1915
s000319	0.958763	0.2609	0.2340
s000019	0.958763	0.2128	0.2391
s000020	0.958763	0.2128	0.0000
s000179	0.958763	0.2340	0.0000
s000961	0.958763	0.0816	0.1591
s000417	0.958763	0.2340	0.1739
s000917	0.958763	0.2766	0.4565
s000915	0.958763	0.1489	0.0217
s000422	0.958763	0.1915	0.2826
s000423	0.958763	0.3043	0.0000
s000125	0.958763	0.1739	0.3404
s000425	0.958763	0.3061	0.1136
s000914	0.958763	0.2128	0.0000
s000909	0.958763	0.2041	0.0000
s000333	0.958763	0.3061	0.0455
s000023	0.958763	0.1739	0.0426
s000907	0.958763	0.2826	0.0000
s000900	0.958763	0.2128	0.0217
s000966	0.958763	0.2128	0.3043
s000148	0.958763	0.1915	0.0435
s000886	0.958763	0.2449	0.2500
s000971	0.958763	0.2979	0.2391
s000361	0.958763	0.3191	0.0000
s000884	0.958763	0.2340	0.0435
s000973	0.958763	0.2340	0.2609
s000384	0.958763	0.3265	0.2955
s000386	0.958763	0.2917	0.3111
s000388	0.958763	0.3404	0.2391
s000326	0.958763	0.2391	0.1915
s000392	0.958763	0.2000	0.0000
s000942	0.958763	0.1875	0.0444
s000950	0.958763	0.2609	0.0213
s000396	0.958763	0.2083	0.0444
s000937	0.958763	0.3404	0.1522
s000398	0.958763	0.2340	0.2609
s000952	0.958763	0.2979	0.0217
s000016	0.958763	0.2340	0.0217
s000935	0.958763	0.3125	0.0000
s000378	0.958763	0.2553	0.0435
s000324	0.958763	0.2553	0.0217
s000128	0.958763	0.2500	0.3778
s000182	0.958763	0.3542	0.3111
s000186	0.958763	0.2449	0.2273
s000404	0.958763	0.2917	0.3778
s000321	0.958763	0.2500	0.2889
s000930	0.958763	0.1489	0.2174
s000376	0.958763	0.1667	0.0222
s000410	0.958763	0.2128	0.1957
s000137	0.958763	0.3617	0.2826
s000411	0.958763	0.2174	0.2128
s000353	0.958763	0.3404	0.0000
s000351	0.958763	0.2174	0.2553
s000350	0.958763	0.2979	0.0217
s000863	0.958763	0.1111	0.0000
s000212	0.958763	0.2340	0.2174
s000462	0.958763	0.2979	0.0217
s000861	0.958763	0.2826	0.3404
s000464	0.958763	0.2449	0.0455
s000466	0.958763	0.2917	0.0222
s000349	0.958763	0.1875	0.0444
s000859	0.958763	0.2917	0.2000
s000031	0.958763	0.2292	0.0000
s000983	0.958763	0.3542	0.2000
s000985	0.958763	0.2391	0.2766
s000345	0.958763	0.2826	0.0426
s000344	0.958763	0.2553	0.0217
s000849	0.958763	0.2500	0.0000
s000845	0.958763	0.2391	0.2340
s000988	0.958763	0.2340	0.2174
s000340	0.958763	0.3111	0.2292
s000990	0.958763	0.3404	0.0217
s000839	0.958763	0.2083	0.3556
s000447	0.958763	0.2340	0.3478
s000142	0.958763	0.3043	0.0000
s000979	0.958763	0.2340	0.3261
s000207	0.958763	0.2444	0.2500
s000450	0.958763	0.3830	0.0217
s000874	0.958763	0.2128	0.2826
s000355	0.958763	0.3125	0.2000
s000206	0.958763	0.3191	0.0217
s000453	0.958763	0.2826	0.0213
s000452	0.958763	0.2128	0.1304
s000882	0.958763	0.1837	0.2045
s000724	0.948454	0.3556	0.0000
s000992	0.948454	0.2292	0.2500
s000662	0.948454	0.1778	0.1915
s000005	0.948454	0.2444	0.0213
s000014	0.948454	0.2222	0.0213
s000665	0.948454	0.2174	0.1739
s000721	0.948454	0.2667	0.0000
s000002	0.948454	0.3111	0.0426
s000691	0.948454	0.2174	0.2609
s000723	0.948454	0.1739	0.0435
s000175	0.948454	0.1304	0.4348
s000969	0.948454	0.2083	0.2500
s000953	0.948454	0.1489	0.0222
s000006	0.948454	0.2553	0.0222
s000004	0.948454	0.2444	0.0213
s000678	0.948454	0.2667	0.0000
s000962	0.948454	0.1957	0.2174
s000003	0.948454	0.3111	0.0426
s000708	0.948454	0.2766	0.2000
s000706	0.948454	0.1489	0.0000
s000675	0.948454	0.2553	0.2222
s000674	0.948454	0.2000	0.2553
s000672	0.948454	0.3261	0.1739
s000180	0.948454	0.3404	0.2889
s000957	0.948454	0.3261	0.0217
s000976	0.948454	0.2667	0.2766
s000963	0.948454	0.1667	0.0909
s000007	0.948454	0.2553	0.0222
s000064	0.948454	0.3478	0.3043
s000687	0.948454	0.2174	0.0435
s000071	0.948454	0.3696	0.0000
s000065	0.948454	0.3043	0.2609
s000986	0.948454	0.2708	0.0455
s000799	0.948454	0.2391	0.2391
s000880	0.948454	0.2500	0.0227
s000800	0.948454	0.1875	0.1818
s000877	0.948454	0.2292	0.0227
s000163	0.948454	0.2391	0.1739
s000808	0.948454	0.3191	0.0000
s000812	0.948454	0.1739	0.0217
s000873	0.948454	0.2826	0.2174
s000208	0.948454	0.2391	0.0435
s000209	0.948454	0.2979	0.2222
s000039	0.948454	0.2292	0.1136
s000869	0.948454	0.3333	0.3617
s000867	0.948454	0.2500	0.2292
s000817	0.948454	0.3125	0.2273
s000037	0.948454	0.2174	0.0217
s000035	0.948454	0.1957	0.1957
s000221	0.948454	0.2128	0.1778
s000857	0.948454	0.2826	0.1522
s000164	0.948454	0.2083	0.2500
s000854	0.948454	0.3556	0.1915
s000851	0.948454	0.2979	0.2222
s000831	0.948454	0.2500	0.0000
s000846	0.948454	0.3125	0.0000
s000832	0.948454	0.3111	0.1702
s000219	0.948454	0.3617	0.0222
s000834	0.948454	0.2667	0.2766
s000844	0.948454	0.2128	0.0444
s000217	0.948454	0.2609	0.2174
s000838	0.948454	0.2292	0.0000
s000840	0.948454	0.0851	0.0000
s000947	0.948454	0.2340	0.2667
s000730	0.948454	0.2391	0.2609
s000943	0.948454	0.2917	0.0000
s000185	0.948454	0.3191	0.0000
s000939	0.948454	0.1739	0.1087
s000738	0.948454	0.3778	0.3404
s000740	0.948454	0.1702	0.2667
s000056	0.948454	0.2045	0.0417
s000747	0.948454	0.2979	0.0222
s000927	0.948454	0.2222	0.0638
s000754	0.948454	0.1915	0.1778
s000755	0.948454	0.2449	0.0233
s000756	0.948454	0.2609	0.0000
s000759	0.948454	0.1489	0.0000
s000921	0.948454	0.3636	0.0000
s000190	0.948454	0.1277	0.2889
s000916	0.948454	0.3043	0.2174
s000773	0.948454	0.1837	0.0000
s000778	0.948454	0.2979	0.0222
s000899	0.948454	0.1489	0.0222
s000898	0.948454	0.1957	0.0000
s000201	0.948454	0.2273	0.0208
s000233	0.948454	0.2340	0.2667
s000203	0.948454	0.2766	0.2889
s000787	0.948454	0.1489	0.0222
s000230	0.948454	0.3261	0.3478
s000885	0.948454	0.2609	0.1304
s000792	0.948454	0.2174	0.0217
s000794	0.948454	0.1915	0.0667
s000881	0.948454	0.3404	0.1111
s000096	0.948454	0.2826	0.2174
s000564	0.948454	0.1556	0.1702
s000566	0.948454	0.2391	0.0000
s000458	0.948454	0.2979	0.0000
s000094	0.948454	0.3043	0.2826
s000309	0.948454	0.2766	0.0222
s000446	0.948454	0.1739	0.0000
s000445	0.948454	0.1667	0.2727
s000579	0.948454	0.2826	0.0000
s000442	0.948454	0.2766	0.0000
s000441	0.948454	0.1591	0.1250
s000277	0.948454	0.2553	0.1556
s000089	0.948454	0.3696	0.2174
s000436	0.948454	0.3404	0.1111
s000088	0.948454	0.3261	0.0435
s000590	0.948454	0.2174	0.1739
s000272	0.948454	0.3404	0.2889
s000432	0.948454	0.3061	0.3023
s000597	0.948454	0.3061	0.2093
s000316	0.948454	0.2553	0.0222
s000600	0.948454	0.2083	0.2727
s000421	0.948454	0.3913	0.3043
s000608	0.948454	0.2222	0.0213
s000420	0.948454	0.2766	0.3111
s000416	0.948454	0.2174	0.0217
s000415	0.948454	0.2340	0.2222
s000516	0.948454	0.2708	0.0000
s000296	0.948454	0.1739	0.0217
s000106	0.948454	0.2128	0.0000
s000105	0.948454	0.3261	0.0000
s000289	0.948454	0.2826	0.1957
s000287	0.948454	0.4000	0.0000
s000495	0.948454	0.3043	0.1522
s000494	0.948454	0.4000	0.0426
s000531	0.948454	0.2766	0.2000
s000533	0.948454	0.2128	0.0222
s000300	0.948454	0.2955	0.1458
s000302	0.948454	0.2609	0.1957
s000484	0.948454	0.3111	0.2128
s000482	0.948454	0.2391	0.0217
s000477	0.948454	0.3958	0.3182
s000475	0.948454	0.2609	0.0000
s000471	0.948454	0.2340	0.0000
s000552	0.948454	0.2553	0.2667
s000554	0.948454	0.2979	0.4444
s000307	0.948454	0.2292	0.1136
s000555	0.948454	0.2609	0.0217
s000282	0.948454	0.1778	0.2766
s000463	0.948454	0.1778	0.0426
s000123	0.948454	0.1957	0.2826
s000124	0.948454	0.3542	0.2500
s000558	0.948454	0.2245	0.0465
s000651	0.948454	0.1667	0.2500
s000650	0.948454	0.2444	0.0213
s000622	0.948454	0.3542	0.0455
s000400	0.948454	0.1458	0.3409
s000397	0.948454	0.2391	0.3043
s000143	0.948454	0.3191	0.0222
s000391	0.948454	0.2444	0.0000
s000646	0.948454	0.2128	0.0000
s000147	0.948454	0.2979	0.0000
s000329	0.948454	0.2609	0.0000
s000644	0.948454	0.3333	0.3636
s000076	0.948454	0.3125	0.0227
s000643	0.948454	0.2391	0.3478
s000357	0.948454	0.3830	0.0000
s000362	0.948454	0.2391	0.0217
s000373	0.948454	0.2174	0.0652
s000371	0.948454	0.1915	0.0444
s000369	0.948454	0.2826	0.0000
s000334	0.948454	0.2174	0.0217
s000611	0.948454	0.1556	0.0000
s000653	0.948454	0.1333	0.1702
s000619	0.948454	0.2889	0.2766
s000614	0.948454	0.2391	0.2391
s000077	0.948454	0.3043	0.3261
s000078	0.948454	0.1667	0.0227
