# Sequenom identity comparison	MIN_SNPS:10	PASS_THRESHOLD:0.9
# sample	common SNPs	matching calls	concordance	result
s000221	.	.	.	Unavailable
s000673	.	.	.	Unavailable
s000783	.	.	.	Unavailable
s000319	.	.	.	Unavailable
s000640	.	.	.	Unavailable
s000210	.	.	.	Unavailable
s000945	.	.	.	Unavailable
s000367	.	.	.	Unavailable
s000686	.	.	.	Unavailable
s000026	.	.	.	Unavailable
s000527	.	.	.	Unavailable
s000571	.	.	.	Unavailable
s000842	.	.	.	Unavailable
s000793	.	.	.	Unavailable
s000808	.	.	.	Unavailable
s000338	.	.	.	Unavailable
s000325	.	.	.	Unavailable
s000185	.	.	.	Unavailable
s000538	.	.	.	Unavailable
s000377	.	.	.	Unavailable
s000117	.	.	.	Unavailable
s000915	.	.	.	Unavailable
s000743	.	.	.	Unavailable
s000490	.	.	.	Unavailable
s000972	.	.	.	Unavailable
s000403	.	.	.	Unavailable
s000284	.	.	.	Unavailable
s000833	.	.	.	Unavailable
s000243	.	.	.	Unavailable
s000706	.	.	.	Unavailable
s000614	.	.	.	Unavailable
s000356	.	.	.	Unavailable
s000729	.	.	.	Unavailable
s000064	.	.	.	Unavailable
s000740	.	.	.	Unavailable
s000029	.	.	.	Unavailable
s000327	.	.	.	Unavailable
s000192	.	.	.	Unavailable
s000078	.	.	.	Unavailable
s000452	.	.	.	Unavailable
s000396	.	.	.	Unavailable
s000463	.	.	.	Unavailable
s000545	.	.	.	Unavailable
s000386	.	.	.	Unavailable
s000631	.	.	.	Unavailable
s000882	.	.	.	Unavailable
s000760	.	.	.	Unavailable
s000756	.	.	.	Unavailable
s000691	.	.	.	Unavailable
s000217	.	.	.	Unavailable
s000101	.	.	.	Unavailable
s000134	.	.	.	Unavailable
s000124	.	.	.	Unavailable
s000736	.	.	.	Unavailable
s000058	.	.	.	Unavailable
s000289	.	.	.	Unavailable
s000825	.	.	.	Unavailable
s000678	.	.	.	Unavailable
s000203	.	.	.	Unavailable
s000713	.	.	.	Unavailable
s000293	.	.	.	Unavailable
s000252	.	.	.	Unavailable
s000682	.	.	.	Unavailable
s000299	.	.	.	Unavailable
s000750	.	.	.	Unavailable
s000276	.	.	.	Unavailable
s000018	.	.	.	Unavailable
s000828	.	.	.	Unavailable
s000887	.	.	.	Unavailable
s000934	.	.	.	Unavailable
s000171	.	.	.	Unavailable
s000138	.	.	.	Unavailable
s000908	.	.	.	Unavailable
s000273	.	.	.	Unavailable
s000222	.	.	.	Unavailable
s000912	.	.	.	Unavailable
s000802	.	.	.	Unavailable
s000599	.	.	.	Unavailable
s000155	.	.	.	Unavailable
s000500	.	.	.	Unavailable
s000308	.	.	.	Unavailable
s000623	.	.	.	Unavailable
s000879	.	.	.	Unavailable
s000311	.	.	.	Unavailable
s000628	.	.	.	Unavailable
s000703	.	.	.	Unavailable
s000847	.	.	.	Unavailable
s000143	.	.	.	Unavailable
s000034	.	.	.	Unavailable
s000011	.	.	.	Unavailable
s000041	.	.	.	Unavailable
s000610	.	.	.	Unavailable
s000302	.	.	.	Unavailable
s000107	.	.	.	Unavailable
s000992	.	.	.	Unavailable
s000944	.	.	.	Unavailable
s000665	.	.	.	Unavailable
s000832	.	.	.	Unavailable
s000512	.	.	.	Unavailable
s000984	.	.	.	Unavailable
s000848	.	.	.	Unavailable
s000233	.	.	.	Unavailable
s000133	.	.	.	Unavailable
s000522	.	.	.	Unavailable
s000335	.	.	.	Unavailable
s000607	.	.	.	Unavailable
s000441	.	.	.	Unavailable
s000483	.	.	.	Unavailable
s000119	.	.	.	Unavailable
s000905	.	.	.	Unavailable
s000318	.	.	.	Unavailable
s000552	.	.	.	Unavailable
s000385	.	.	.	Unavailable
s000939	.	.	.	Unavailable
s000258	.	.	.	Unavailable
s000674	.	.	.	Unavailable
s000491	.	.	.	Unavailable
s000206	.	.	.	Unavailable
s000850	.	.	.	Unavailable
s000121	.	.	.	Unavailable
s000474	.	.	.	Unavailable
s000007	.	.	.	Unavailable
s000990	.	.	.	Unavailable
s000591	.	.	.	Unavailable
s000467	.	.	.	Unavailable
s000424	.	.	.	Unavailable
s000099	.	.	.	Unavailable
s000504	.	.	.	Unavailable
s000112	.	.	.	Unavailable
s000251	.	.	.	Unavailable
s000070	.	.	.	Unavailable
s000147	.	.	.	Unavailable
s000400	.	.	.	Unavailable
s000231	.	.	.	Unavailable
s000420	.	.	.	Unavailable
s000132	.	.	.	Unavailable
s000184	.	.	.	Unavailable
s000337	.	.	.	Unavailable
s000019	.	.	.	Unavailable
s000877	.	.	.	Unavailable
s000618	.	.	.	Unavailable
s000497	.	.	.	Unavailable
s000322	.	.	.	Unavailable
s000054	.	.	.	Unavailable
s000930	.	.	.	Unavailable
s000800	.	.	.	Unavailable
s000611	.	.	.	Unavailable
s000515	.	.	.	Unavailable
s000653	.	.	.	Unavailable
s000229	.	.	.	Unavailable
s000755	.	.	.	Unavailable
s000978	.	.	.	Unavailable
s000095	.	.	.	Unavailable
s000260	.	.	.	Unavailable
s000487	.	.	.	Unavailable
s000357	.	.	.	Unavailable
s000690	.	.	.	Unavailable
s000436	.	.	.	Unavailable
s000285	.	.	.	Unavailable
s000540	.	.	.	Unavailable
s000519	.	.	.	Unavailable
s000443	.	.	.	Unavailable
s000079	.	.	.	Unavailable
s000639	.	.	.	Unavailable
s000362	.	.	.	Unavailable
s000889	.	.	.	Unavailable
s000855	.	.	.	Unavailable
s000375	.	.	.	Unavailable
s000777	.	.	.	Unavailable
s000279	.	.	.	Unavailable
s000376	.	.	.	Unavailable
s000361	.	.	.	Unavailable
s000456	.	.	.	Unavailable
s000642	.	.	.	Unavailable
s000526	.	.	.	Unavailable
s000027	.	.	.	Unavailable
s000208	.	.	.	Unavailable
s000624	.	.	.	Unavailable
s000578	.	.	.	Unavailable
s000971	.	.	.	Unavailable
s000220	.	.	.	Unavailable
s000216	.	.	.	Unavailable
s000310	.	.	.	Unavailable
s000191	.	.	.	Unavailable
s000650	.	.	.	Unavailable
s000464	.	.	.	Unavailable
s000920	.	.	.	Unavailable
s000359	.	.	.	Unavailable
s000993	.	.	.	Unavailable
s000704	.	.	.	Unavailable
s000965	.	.	.	Unavailable
s000275	.	.	.	Unavailable
s000146	.	.	.	Unavailable
s000679	.	.	.	Unavailable
s000592	.	.	.	Unavailable
s000125	.	.	.	Unavailable
s000797	.	.	.	Unavailable
s000698	.	.	.	Unavailable
s000166	.	.	.	Unavailable
s000980	.	.	.	Unavailable
s000896	.	.	.	Unavailable
s000236	.	.	.	Unavailable
s000923	.	.	.	Unavailable
s000560	.	.	.	Unavailable
s000085	.	.	.	Unavailable
s000814	.	.	.	Unavailable
s000619	.	.	.	Unavailable
s000457	.	.	.	Unavailable
s000775	.	.	.	Unavailable
s000268	.	.	.	Unavailable
s000898	.	.	.	Unavailable
s000701	.	.	.	Unavailable
s000272	.	.	.	Unavailable
s000062	.	.	.	Unavailable
s000863	.	.	.	Unavailable
s000580	.	.	.	Unavailable
s000345	.	.	.	Unavailable
s000111	.	.	.	Unavailable
s000766	.	.	.	Unavailable
s000806	.	.	.	Unavailable
s000209	.	.	.	Unavailable
s000554	.	.	.	Unavailable
s000346	.	.	.	Unavailable
s000157	.	.	.	Unavailable
s000458	.	.	.	Unavailable
s000025	.	.	.	Unavailable
s000688	.	.	.	Unavailable
s000292	.	.	.	Unavailable
s000902	.	.	.	Unavailable
s000839	.	.	.	Unavailable
s000666	.	.	.	Unavailable
s000539	.	.	.	Unavailable
s000953	.	.	.	Unavailable
s000836	.	.	.	Unavailable
s000794	.	.	.	Unavailable
s000659	.	.	.	Unavailable
s000827	.	.	.	Unavailable
s000380	.	.	.	Unavailable
s000315	.	.	.	Unavailable
s000244	.	.	.	Unavailable
s000473	.	.	.	Unavailable
s000425	.	.	.	Unavailable
s000949	.	.	.	Unavailable
s000668	.	.	.	Unavailable
s000754	.	.	.	Unavailable
s000909	.	.	.	Unavailable
s000182	.	.	.	Unavailable
s000371	.	.	.	Unavailable
s000286	.	.	.	Unavailable
s000959	.	.	.	Unavailable
s000549	.	.	.	Unavailable
s000163	.	.	.	Unavailable
s000205	.	.	.	Unavailable
s000795	.	.	.	Unavailable
s000227	.	.	.	Unavailable
s000859	.	.	.	Unavailable
s000232	.	.	.	Unavailable
s000564	.	.	.	Unavailable
s000745	.	.	.	Unavailable
s000835	.	.	.	Unavailable
s000577	.	.	.	Unavailable
s000486	.	.	.	Unavailable
s000323	.	.	.	Unavailable
s000625	.	.	.	Unavailable
s000148	.	.	.	Unavailable
s000845	.	.	.	Unavailable
s000344	.	.	.	Unavailable
s000156	.	.	.	Unavailable
s000207	.	.	.	Unavailable
s000305	.	.	.	Unavailable
s000063	.	.	.	Unavailable
s000840	.	.	.	Unavailable
s000765	.	.	.	Unavailable
s000354	.	.	.	Unavailable
s000931	.	.	.	Unavailable
s000277	.	.	.	Unavailable
s000414	.	.	.	Unavailable
s000878	.	.	.	Unavailable
s000645	.	.	.	Unavailable
s000977	.	.	.	Unavailable
s000789	.	.	.	Unavailable
s000049	.	.	.	Unavailable
s000709	.	.	.	Unavailable
s000257	.	.	.	Unavailable
s000612	.	.	.	Unavailable
s000525	.	.	.	Unavailable
s000734	.	.	.	Unavailable
s000652	.	.	.	Unavailable
s000183	.	.	.	Unavailable
s000336	.	.	.	Unavailable
s000374	.	.	.	Unavailable
s000363	.	.	.	Unavailable
s000830	.	.	.	Unavailable
s000435	.	.	.	Unavailable
s000170	.	.	.	Unavailable
s000520	.	.	.	Unavailable
s000131	.	.	.	Unavailable
s000165	.	.	.	Unavailable
s000535	.	.	.	Unavailable
s000505	.	.	.	Unavailable
s000153	.	.	.	Unavailable
s000600	.	.	.	Unavailable
s000581	.	.	.	Unavailable
s000493	.	.	.	Unavailable
s000630	.	.	.	Unavailable
s000387	.	.	.	Unavailable
s000774	.	.	.	Unavailable
s000358	.	.	.	Unavailable
s000530	.	.	.	Unavailable
s000042	.	.	.	Unavailable
s000948	.	.	.	Unavailable
s000994	.	.	.	Unavailable
s000881	.	.	.	Unavailable
s000714	.	.	.	Unavailable
s000720	.	.	.	Unavailable
s000109	.	.	.	Unavailable
s000903	.	.	.	Unavailable
s000862	.	.	.	Unavailable
s000024	.	.	.	Unavailable
s000199	.	.	.	Unavailable
s000874	.	.	.	Unavailable
s000036	.	.	.	Unavailable
s000271	.	.	.	Unavailable
s000813	.	.	.	Unavailable
s000776	.	.	.	Unavailable
s000426	.	.	.	Unavailable
s000609	.	.	.	Unavailable
s000937	.	.	.	Unavailable
s000676	.	.	.	Unavailable
s000781	.	.	.	Unavailable
s000245	.	.	.	Unavailable
s000250	.	.	.	Unavailable
s000494	.	.	.	Unavailable
s000450	.	.	.	Unavailable
s000637	.	.	.	Unavailable
s000461	.	.	.	Unavailable
s000406	.	.	.	Unavailable
s000126	.	.	.	Unavailable
s000952	.	.	.	Unavailable
s000974	.	.	.	Unavailable
s000291	.	.	.	Unavailable
s000145	.	.	.	Unavailable
s000051	.	.	.	Unavailable
s000667	.	.	.	Unavailable
s000312	.	.	.	Unavailable
s000514	.	.	.	Unavailable
s000177	.	.	.	Unavailable
s000413	.	.	.	Unavailable
s000699	.	.	.	Unavailable
s000398	.	.	.	Unavailable
s000198	.	.	.	Unavailable
s000868	.	.	.	Unavailable
s000604	.	.	.	Unavailable
s000031	.	.	.	Unavailable
s000149	.	.	.	Unavailable
s000434	.	.	.	Unavailable
s000900	.	.	.	Unavailable
s000045	.	.	.	Unavailable
s000588	.	.	.	Unavailable
s000469	.	.	.	Unavailable
s000304	.	.	.	Unavailable
s000616	.	.	.	Unavailable
s000023	.	.	.	Unavailable
s000094	.	.	.	Unavailable
s000417	.	.	.	Unavailable
s000056	.	.	.	Unavailable
s000973	.	.	.	Unavailable
s000626	.	.	.	Unavailable
s000320	.	.	.	Unavailable
s000069	.	.	.	Unavailable
s000370	.	.	.	Unavailable
s000382	.	.	.	Unavailable
s000181	.	.	.	Unavailable
s000787	.	.	.	Unavailable
s000724	.	.	.	Unavailable
s000482	.	.	.	Unavailable
s000819	.	.	.	Unavailable
s000517	.	.	.	Unavailable
s000086	.	.	.	Unavailable
s000392	.	.	.	Unavailable
s000963	.	.	.	Unavailable
s000958	.	.	.	Unavailable
s000080	.	.	.	Unavailable
s000910	.	.	.	Unavailable
s000968	.	.	.	Unavailable
s000278	.	.	.	Unavailable
s000470	.	.	.	Unavailable
s000569	.	.	.	Unavailable
s000235	.	.	.	Unavailable
s000402	.	.	.	Unavailable
s000256	.	.	.	Unavailable
s000891	.	.	.	Unavailable
s000355	.	.	.	Unavailable
s000861	.	.	.	Unavailable
s000129	.	.	.	Unavailable
s000548	.	.	.	Unavailable
s000287	.	.	.	Unavailable
s000348	.	.	.	Unavailable
s000072	.	.	.	Unavailable
s000799	.	.	.	Unavailable
s000764	.	.	.	Unavailable
s000141	.	.	.	Unavailable
s000445	.	.	.	Unavailable
s000856	.	.	.	Unavailable
s000595	.	.	.	Unavailable
s000586	.	.	.	Unavailable
s000419	.	.	.	Unavailable
s000884	.	.	.	Unavailable
s000015	.	.	.	Unavailable
s000151	.	.	.	Unavailable
s000489	.	.	.	Unavailable
s000373	.	.	.	Unavailable
s000060	.	.	.	Unavailable
s000711	.	.	.	Unavailable
s000329	.	.	.	Unavailable
s000731	.	.	.	Unavailable
s000883	.	.	.	Unavailable
s000657	.	.	.	Unavailable
s000536	.	.	.	Unavailable
s000462	.	.	.	Unavailable
s000388	.	.	.	Unavailable
s000981	.	.	.	Unavailable
s000130	.	.	.	Unavailable
s000261	.	.	.	Unavailable
s000675	.	.	.	Unavailable
s000127	.	.	.	Unavailable
s000820	.	.	.	Unavailable
s000532	.	.	.	Unavailable
s000178	.	.	.	Unavailable
s000872	.	.	.	Unavailable
s000228	.	.	.	Unavailable
s000499	.	.	.	Unavailable
s000951	.	.	.	Unavailable
s000860	.	.	.	Unavailable
s000846	.	.	.	Unavailable
s000773	.	.	.	Unavailable
s000693	.	.	.	Unavailable
s000593	.	.	.	Unavailable
s000168	.	.	.	Unavailable
s000389	.	.	.	Unavailable
s000454	.	.	.	Unavailable
s000785	.	.	.	Unavailable
s000408	.	.	.	Unavailable
s000053	.	.	.	Unavailable
s000405	.	.	.	Unavailable
s000753	.	.	.	Unavailable
s000087	.	.	.	Unavailable
s000573	.	.	.	Unavailable
s000488	.	.	.	Unavailable
s000719	.	.	.	Unavailable
s000894	.	.	.	Unavailable
s000601	.	.	.	Unavailable
s000022	.	.	.	Unavailable
s000576	.	.	.	Unavailable
s000936	.	.	.	Unavailable
s000393	.	.	.	Unavailable
s000449	.	.	.	Unavailable
s000922	.	.	.	Unavailable
s000048	.	.	.	Unavailable
s000002	.	.	.	Unavailable
s000648	.	.	.	Unavailable
s000829	.	.	.	Unavailable
s000644	.	.	.	Unavailable
s000037	.	.	.	Unavailable
s000197	.	.	.	Unavailable
s000317	.	.	.	Unavailable
s000369	.	.	.	Unavailable
s000502	.	.	.	Unavailable
s000105	.	.	.	Unavailable
s000298	.	.	.	Unavailable
s000073	.	.	.	Unavailable
s000928	.	.	.	Unavailable
s000747	.	.	.	Unavailable
s000215	.	.	.	Unavailable
s000557	.	.	.	Unavailable
s000218	.	.	.	Unavailable
s000670	.	.	.	Unavailable
s000047	.	.	.	Unavailable
s000617	.	.	.	Unavailable
s000516	.	.	.	Unavailable
s000113	.	.	.	Unavailable
s000040	.	.	.	Unavailable
s000381	.	.	.	Unavailable
s000763	.	.	.	Unavailable
s000620	.	.	.	Unavailable
s000636	.	.	.	Unavailable
s000594	.	.	.	Unavailable
s000214	.	.	.	Unavailable
s000547	.	.	.	Unavailable
s000509	.	.	.	Unavailable
s000786	.	.	.	Unavailable
s000030	.	.	.	Unavailable
s000189	.	.	.	Unavailable
s000360	.	.	.	Unavailable
s000246	.	.	.	Unavailable
s000816	.	.	.	Unavailable
s000347	.	.	.	Unavailable
s000158	.	.	.	Unavailable
s000541	.	.	.	Unavailable
s000444	.	.	.	Unavailable
s000759	.	.	.	Unavailable
s000725	.	.	.	Unavailable
s000071	.	.	.	Unavailable
s000046	.	.	.	Unavailable
s000585	.	.	.	Unavailable
s000476	.	.	.	Unavailable
s000575	.	.	.	Unavailable
s000150	.	.	.	Unavailable
s000180	.	.	.	Unavailable
s000225	.	.	.	Unavailable
s000475	.	.	.	Unavailable
s000911	.	.	.	Unavailable
s000160	.	.	.	Unavailable
s000587	.	.	.	Unavailable
s000321	.	.	.	Unavailable
s000796	.	.	.	Unavailable
s000460	.	.	.	Unavailable
s000096	.	.	.	Unavailable
s000010	.	.	.	Unavailable
s000596	.	.	.	Unavailable
s000427	.	.	.	Unavailable
s000518	.	.	.	Unavailable
s000867	.	.	.	Unavailable
s000238	.	.	.	Unavailable
s000328	.	.	.	Unavailable
s000957	.	.	.	Unavailable
s000140	.	.	.	Unavailable
s000873	.	.	.	Unavailable
s000270	.	.	.	Unavailable
s000967	.	.	.	Unavailable
s000901	.	.	.	Unavailable
s000390	.	.	.	Unavailable
s000707	.	.	.	Unavailable
s000853	.	.	.	Unavailable
s000950	.	.	.	Unavailable
s000061	.	.	.	Unavailable
s000152	.	.	.	Unavailable
s000128	.	.	.	Unavailable
s000219	.	.	.	Unavailable
s000966	.	.	.	Unavailable
s000658	.	.	.	Unavailable
s000979	.	.	.	Unavailable
s000929	.	.	.	Unavailable
s000411	.	.	.	Unavailable
s000455	.	.	.	Unavailable
s000988	.	.	.	Unavailable
s000940	.	.	.	Unavailable
s000570	.	.	.	Unavailable
s000602	.	.	.	Unavailable
s000791	.	.	.	Unavailable
s000897	.	.	.	Unavailable
s000240	.	.	.	Unavailable
s000752	.	.	.	Unavailable
s000523	.	.	.	Unavailable
s000821	.	.	.	Unavailable
s000730	.	.	.	Unavailable
s000255	.	.	.	Unavailable
s000368	.	.	.	Unavailable
s000021	.	.	.	Unavailable
s000342	.	.	.	Unavailable
s000669	.	.	.	Unavailable
s000694	.	.	.	Unavailable
s000784	.	.	.	Unavailable
s000213	.	.	.	Unavailable
s000175	.	.	.	Unavailable
s000503	.	.	.	Unavailable
s000167	.	.	.	Unavailable
s000810	.	.	.	Unavailable
s000702	.	.	.	Unavailable
s000718	.	.	.	Unavailable
s000822	.	.	.	Unavailable
s000635	.	.	.	Unavailable
s000893	.	.	.	Unavailable
s000805	.	.	.	Unavailable
s000746	.	.	.	Unavailable
s000553	.	.	.	Unavailable
s000288	.	.	.	Unavailable
s000196	.	.	.	Unavailable
s000395	.	.	.	Unavailable
s000726	.	.	.	Unavailable
s000712	.	.	.	Unavailable
s000433	.	.	.	Unavailable
s000106	.	.	.	Unavailable
s000559	.	.	.	Unavailable
s000558	.	.	.	Unavailable
s000651	.	.	.	Unavailable
s000687	.	.	.	Unavailable
s000314	.	.	.	Unavailable
s000941	.	.	.	Unavailable
s000749	.	.	.	Unavailable
s000641	.	.	.	Unavailable
s000201	.	.	.	Unavailable
s000574	.	.	.	Unavailable
s000870	.	.	.	Unavailable
s000695	.	.	.	Unavailable
s000479	.	.	.	Unavailable
s000663	.	.	.	Unavailable
s000065	.	.	.	Unavailable
s000511	.	.	.	Unavailable
s000962	.	.	.	Unavailable
s000561	.	.	.	Unavailable
s000956	.	.	.	Unavailable
s000815	.	.	.	Unavailable
s000428	.	.	.	Unavailable
s000247	.	.	.	Unavailable
s000733	.	.	.	Unavailable
s000817	.	.	.	Unavailable
s000772	.	.	.	Unavailable
s000671	.	.	.	Unavailable
s000477	.	.	.	Unavailable
s000916	.	.	.	Unavailable
s000202	.	.	.	Unavailable
s000809	.	.	.	Unavailable
s000769	.	.	.	Unavailable
s000404	.	.	.	Unavailable
s000267	.	.	.	Unavailable
s000782	.	.	.	Unavailable
s000262	.	.	.	Unavailable
s000102	.	.	.	Unavailable
s000501	.	.	.	Unavailable
s000466	.	.	.	Unavailable
s000531	.	.	.	Unavailable
s000169	.	.	.	Unavailable
s000888	.	.	.	Unavailable
s000174	.	.	.	Unavailable
s000681	.	.	.	Unavailable
s000237	.	.	.	Unavailable
s000739	.	.	.	Unavailable
s000606	.	.	.	Unavailable
s000193	.	.	.	Unavailable
s000089	.	.	.	Unavailable
s000421	.	.	.	Unavailable
s000555	.	.	.	Unavailable
s000762	.	.	.	Unavailable
s000135	.	.	.	Unavailable
s000453	.	.	.	Unavailable
s000159	.	.	.	Unavailable
s000332	.	.	.	Unavailable
s000269	.	.	.	Unavailable
s000579	.	.	.	Unavailable
s000330	.	.	.	Unavailable
s000529	.	.	.	Unavailable
s000296	.	.	.	Unavailable
s000351	.	.	.	Unavailable
s000397	.	.	.	Unavailable
s000654	.	.	.	Unavailable
s000567	.	.	.	Unavailable
s000550	.	.	.	Unavailable
s000372	.	.	.	Unavailable
s000365	.	.	.	Unavailable
s000431	.	.	.	Unavailable
s000309	.	.	.	Unavailable
s000843	.	.	.	Unavailable
s000722	.	.	.	Unavailable
s000226	.	.	.	Unavailable
s000265	.	.	.	Unavailable
s000254	.	.	.	Unavailable
s000947	.	.	.	Unavailable
s000432	.	.	.	Unavailable
s000824	.	.	.	Unavailable
s000646	.	.	.	Unavailable
s000176	.	.	.	Unavailable
s000340	.	.	.	Unavailable
s000352	.	.	.	Unavailable
s000583	.	.	.	Unavailable
s000717	.	.	.	Unavailable
s000307	.	.	.	Unavailable
s000985	.	.	.	Unavailable
s000188	.	.	.	Unavailable
s000003	.	.	.	Unavailable
s000059	.	.	.	Unavailable
s000886	.	.	.	Unavailable
s000851	.	.	.	Unavailable
s000092	.	.	.	Unavailable
s000082	.	.	.	Unavailable
s000544	.	.	.	Unavailable
s000634	.	.	.	Unavailable
s000384	.	.	.	Unavailable
s000033	.	.	.	Unavailable
s000412	.	.	.	Unavailable
s000831	.	.	.	Unavailable
s000212	.	.	.	Unavailable
s000195	.	.	.	Unavailable
s000161	.	.	.	Unavailable
s000039	.	.	.	Unavailable
s000343	.	.	.	Unavailable
s000440	.	.	.	Unavailable
s000068	.	.	.	Unavailable
s000430	.	.	.	Unavailable
s000496	.	.	.	Unavailable
s000603	.	.	.	Unavailable
s000662	.	.	.	Unavailable
s000521	.	.	.	Unavailable
s000566	.	.	.	Unavailable
s000854	.	.	.	Unavailable
s000710	.	.	.	Unavailable
s000801	.	.	.	Unavailable
s000551	.	.	.	Unavailable
s000290	.	.	.	Unavailable
s000439	.	.	.	Unavailable
s000876	.	.	.	Unavailable
s000103	.	.	.	Unavailable
s000014	.	.	.	Unavailable
s000179	.	.	.	Unavailable
s000758	.	.	.	Unavailable
s000683	.	.	.	Unavailable
s000230	.	.	.	Unavailable
s000116	.	.	.	Unavailable
s000075	.	.	.	Unavailable
s000281	.	.	.	Unavailable
s000727	.	.	.	Unavailable
s000906	.	.	.	Unavailable
s000223	.	.	.	Unavailable
s000970	.	.	.	Unavailable
s000919	.	.	.	Unavailable
s000924	.	.	.	Unavailable
s000708	.	.	.	Unavailable
s000055	.	.	.	Unavailable
s000066	.	.	.	Unavailable
s000122	.	.	.	Unavailable
s000081	.	.	.	Unavailable
s000811	.	.	.	Unavailable
s000790	.	.	.	Unavailable
s000333	.	.	.	Unavailable
s000556	.	.	.	Unavailable
s000472	.	.	.	Unavailable
s000194	.	.	.	Unavailable
