sample	cr	het	duplicate	gender	identity	xydiff
s000124	0.948454	0.3542	1	1	1	1
s000558	0.948454	0.2245	1	1	1	1
s000651	0.948454	0.1667	1	1	1	1
s000650	0.948454	0.2444	1	1	1	1
s000622	0.948454	0.3542	1	1	1	1
s000400	0.948454	0.1458	1	1	1	1
s000397	0.948454	0.2391	1	1	1	0
s000143	0.948454	0.3191	1	1	1	1
s000391	0.948454	0.2444	1	1	1	1
s000646	0.948454	0.2128	1	1	1	1
s000147	0.948454	0.2979	1	1	1	1
s000329	0.948454	0.2609	1	1	1	1
s000644	0.948454	0.3333	1	1	1	1
s000076	0.948454	0.3125	1	1	1	1
s000643	0.948454	0.2391	1	1	1	1
s000357	0.948454	0.3830	1	1	1	1
s000362	0.948454	0.2391	1	1	1	1
s000373	0.948454	0.2174	1	1	1	1
s000371	0.948454	0.1915	1	1	1	1
s000369	0.948454	0.2826	1	1	1	1
s000334	0.948454	0.2174	1	1	1	1
s000611	0.948454	0.1556	1	1	1	1
s000653	0.948454	0.1333	1	1	1	1
s000619	0.948454	0.2889	1	1	1	1
s000614	0.948454	0.2391	1	1	1	1
s000077	0.948454	0.3043	1	1	1	1
s000078	0.948454	0.1667	1	1	1	1
s000145	0.948454	0.2917	1	1	1	1
s000079	0.948454	0.2292	1	1	1	1
s000842	0.938144	0.2766	1	1	1	1
s000816	0.938144	0.2340	1	1	1	1
s000474	0.938144	0.1957	1	1	1	1
s000120	0.938144	0.1818	1	1	1	1
s000225	0.938144	0.2444	1	1	1	1
s000214	0.938144	0.1667	1	1	1	1
s000306	0.938144	0.3191	1	1	1	1
s000855	0.938144	0.3696	1	1	1	1
s000359	0.938144	0.2667	1	1	1	1
s000177	0.938144	0.3182	1	1	1	1
s000140	0.938144	0.3404	1	1	1	1
s000967	0.938144	0.2708	1	1	1	1
s000515	0.938144	0.2889	1	1	1	1
s000993	0.938144	0.2917	1	1	1	1
s000114	0.938144	0.2766	1	1	1	1
s000348	0.938144	0.1778	1	1	1	1
s000347	0.938144	0.2000	1	1	1	1
s000493	0.938144	0.2391	1	1	1	1
s000498	0.938144	0.0667	1	1	1	1
s000034	0.938144	0.3333	1	1	1	1
s000335	0.938144	0.3261	1	1	1	1
s000978	0.938144	0.2766	1	0	1	1
s000346	0.938144	0.2979	1	1	1	1
s000485	0.938144	0.1957	1	1	1	1
s000144	0.938144	0.2979	1	1	1	0
s000977	0.938144	0.2174	1	1	1	1
s000481	0.938144	0.1818	1	1	1	1
s000036	0.938144	0.1957	1	1	1	1
s000501	0.938144	0.2500	1	1	1	1
s000478	0.938144	0.2889	1	1	1	1
s000112	0.938144	0.3191	1	1	1	1
s000841	0.938144	0.2273	1	1	1	1
s000393	0.938144	0.2128	1	1	1	1
s000314	0.938144	0.2174	1	1	1	1
s000941	0.938144	0.2791	1	1	1	1
s000434	0.938144	0.2128	1	1	1	1
s000199	0.938144	0.2889	1	1	1	1
s000323	0.938144	0.2553	1	1	1	1
s000198	0.938144	0.2000	1	1	1	1
s000197	0.938144	0.4043	1	1	1	1
s000433	0.938144	0.2667	1	1	1	1
s000018	0.938144	0.2174	1	0	1	1
s000431	0.938144	0.2979	1	1	1	1
s000193	0.938144	0.2128	1	1	1	0
s000317	0.938144	0.3750	1	1	1	1
s000910	0.938144	0.2979	1	1	1	1
s000192	0.938144	0.2889	1	1	1	1
s000021	0.938144	0.2667	1	1	1	1
s000408	0.938144	0.2553	1	1	1	1
s000188	0.938144	0.2391	1	1	1	1
s000928	0.938144	0.2292	1	1	1	1
s000924	0.938144	0.3261	1	1	1	1
s000320	0.938144	0.3404	1	1	1	1
s000308	0.938144	0.3043	1	0	1	1
s000030	0.938144	0.1957	1	1	1	1
s000865	0.938144	0.1667	1	1	1	1
s000211	0.938144	0.2500	1	1	1	1
s000459	0.938144	0.2667	1	1	1	1
s000375	0.938144	0.2667	1	1	1	1
s000956	0.938144	0.2667	1	1	1	1
s000955	0.938144	0.3191	1	0	1	1
s000380	0.938144	0.2391	1	1	1	1
s000457	0.938144	0.2174	1	1	1	1
s000381	0.938144	0.3333	1	1	1	1
s000870	0.938144	0.2826	1	0	1	1
s000456	0.938144	0.1957	1	1	1	1
s000875	0.938144	0.2500	1	1	1	1
s000448	0.938144	0.3556	1	1	1	1
s000878	0.938144	0.2045	1	1	1	1
s000029	0.938144	0.1915	1	1	1	1
s000311	0.938144	0.2553	1	1	1	1
s000443	0.938144	0.2553	1	1	1	1
s000389	0.938144	0.2083	1	1	1	1
s000944	0.938144	0.2128	1	1	1	1
s000205	0.938144	0.2979	1	1	1	1
s000263	0.938144	0.2826	1	1	1	1
s000538	0.938144	0.2609	1	1	1	1
s000540	0.938144	0.2889	1	1	1	1
s000782	0.938144	0.2174	1	1	1	1
s000103	0.938144	0.2222	1	1	1	1
s000544	0.938144	0.2667	1	1	1	1
s000652	0.938144	0.2727	1	1	1	1
s000063	0.938144	0.2979	1	1	1	1
s000664	0.938144	0.2174	1	1	1	1
s000250	0.938144	0.3111	1	1	1	1
s000715	0.938144	0.2000	1	1	1	1
s000259	0.938144	0.2500	1	0	1	1
s000571	0.938144	0.2222	1	1	1	1
s000053	0.938144	0.2222	1	1	1	1
s000101	0.938144	0.2766	1	1	1	1
s000567	0.938144	0.1304	1	1	1	1
s000758	0.938144	0.2340	1	1	1	1
s000284	0.938144	0.2667	1	1	1	1
s000261	0.938144	0.2826	1	1	1	0
s000604	0.938144	0.1522	1	1	1	1
s000281	0.938144	0.4130	1	1	1	1
s000680	0.938144	0.2826	1	1	1	1
s000271	0.938144	0.2340	1	1	1	1
s000266	0.938144	0.2444	1	1	1	1
s000639	0.938144	0.1304	1	1	1	1
s000557	0.938144	0.3404	1	1	1	1
s000276	0.938144	0.3778	1	1	1	1
s000580	0.938144	0.2222	1	1	1	1
s000655	0.938144	0.2292	1	1	1	1
s000057	0.938144	0.3043	1	1	1	1
s000621	0.938144	0.3261	1	1	1	1
s000742	0.938144	0.2340	1	1	1	0
s000804	0.938144	0.2826	1	1	1	1
s000618	0.938144	0.1522	1	1	1	1
s000070	0.938144	0.2500	1	1	1	1
s000247	0.938144	0.2391	1	1	1	1
s000656	0.938144	0.2174	1	1	1	1
s000042	0.938144	0.3478	1	1	1	1
s000080	0.938144	0.2766	1	1	1	1
s000795	0.938144	0.2222	1	1	1	1
s000529	0.938144	0.2553	1	1	1	1
s000610	0.938144	0.2889	1	1	1	1
s000152	0.938144	0.3043	1	1	1	1
s000532	0.938144	0.1702	1	1	1	1
s000609	0.938144	0.3830	1	1	1	1
s000537	0.938144	0.1957	1	1	1	1
s000627	0.938144	0.1633	1	1	1	1
s000087	0.938144	0.1489	1	1	1	1
s000634	0.927835	0.1915	1	1	1	1
s000060	0.927835	0.1778	1	1	1	1
s000159	0.927835	0.2917	1	1	1	1
s000139	0.927835	0.1915	1	1	1	1
s000894	0.927835	0.2889	1	1	1	1
s000733	0.927835	0.2826	1	1	1	1
s000367	0.927835	0.2500	1	1	1	1
s000624	0.927835	0.2174	1	1	1	1
s000938	0.927835	0.1778	1	1	1	1
s000268	0.927835	0.2340	1	1	1	1
s000066	0.927835	0.2045	1	1	1	1
s000406	0.927835	0.2273	1	1	1	1
s000931	0.927835	0.3478	1	1	1	1
s000254	0.927835	0.2174	1	1	1	1
s000625	0.927835	0.3721	1	1	1	1
s000926	0.927835	0.3111	1	1	1	1
s000690	0.927835	0.2667	1	1	1	1
s000414	0.927835	0.2391	1	1	1	1
s000171	0.927835	0.1778	1	1	1	1
s000418	0.927835	0.2340	1	1	1	1
s000918	0.927835	0.2000	1	1	1	1
s000714	0.927835	0.3256	1	1	1	1
s000069	0.927835	0.2273	1	1	1	1
s000630	0.927835	0.4318	1	1	1	1
s000155	0.927835	0.2766	1	1	1	1
s000428	0.927835	0.3111	1	1	1	1
s000681	0.927835	0.1957	1	1	1	1
s000146	0.927835	0.2826	1	1	1	1
s000195	0.927835	0.2128	1	1	1	1
s000074	0.927835	0.2791	1	1	1	1
s000356	0.927835	0.1915	1	1	1	1
s000216	0.927835	0.1277	1	1	1	1
s000847	0.927835	0.1860	1	1	1	1
s000236	0.927835	0.1111	1	1	1	1
s000285	0.927835	0.2222	1	1	1	1
s000232	0.927835	0.2667	1	1	1	1
s000486	0.927835	0.2826	1	1	1	1
s000072	0.927835	0.3023	1	1	1	1
s000336	0.927835	0.1818	1	1	1	1
s000286	0.927835	0.2889	1	1	1	1
s000530	0.927835	0.3696	1	1	1	1
s000991	0.927835	0.2955	1	1	1	1
s000521	0.927835	0.2889	1	1	1	1
s000291	0.927835	0.2174	1	1	1	1
s000041	0.927835	0.0909	1	1	1	1
s000503	0.927835	0.3556	1	1	1	1
s000805	0.927835	0.3913	1	1	1	1
s000040	0.927835	0.2955	1	1	1	1
s000509	0.927835	0.2500	1	1	1	1
s000811	0.927835	0.1957	1	1	1	1
s000518	0.927835	0.3111	1	1	1	1
s000337	0.927835	0.2558	1	1	1	1
s000582	0.927835	0.3636	1	1	1	1
s000364	0.927835	0.2727	1	1	1	1
s000248	0.927835	0.2000	1	1	1	1
s000637	0.927835	0.3043	1	1	1	1
s000576	0.927835	0.3111	1	1	1	1
s000573	0.927835	0.2553	1	1	1	1
s000178	0.927835	0.3261	1	1	1	1
s000638	0.927835	0.2174	1	1	1	1
s000451	0.927835	0.2727	1	1	1	1
s000572	0.927835	0.2667	1	1	1	1
s000455	0.927835	0.3478	1	1	1	1
s000761	0.927835	0.2083	1	1	1	1
s000141	0.927835	0.2609	1	1	1	1
s000240	0.927835	0.2444	1	1	1	1
s000215	0.927835	0.3333	1	1	1	1
s000238	0.927835	0.3261	1	1	1	1
s000642	0.927835	0.1778	1	1	1	1
s000975	0.927835	0.1702	1	1	1	1
s000766	0.927835	0.2444	1	1	1	1
s000467	0.927835	0.2174	1	1	1	1
s000465	0.927835	0.2000	1	1	1	1
s000658	0.917526	0.2000	1	1	1	1
s000984	0.917526	0.2500	1	1	1	1
s000382	0.917526	0.2889	1	1	1	1
s000339	0.917526	0.1556	1	1	1	1
s000951	0.917526	0.2826	1	1	1	1
s000964	0.917526	0.2045	1	1	1	1
s000692	0.917526	0.2045	1	1	1	1
s000684	0.917526	0.2553	1	1	1	1
s000265	0.917526	0.2000	1	1	1	1
s000157	0.917526	0.3043	1	1	1	1
s000084	0.917526	0.2391	1	1	1	1
s000592	0.917526	0.2553	1	1	1	1
s000891	0.917526	0.1957	1	1	1	1
s000246	0.917526	0.3913	1	1	1	1
s000750	0.917526	0.2667	1	1	1	1
s000762	0.917526	0.2826	1	1	1	1
s000239	0.917526	0.3111	1	1	1	1
s000549	0.917526	0.1591	1	1	1	1
s000852	0.917526	0.2326	1	1	1	1
s000122	0.917526	0.2174	1	1	1	1
s000777	0.917526	0.3182	1	1	1	1
s000476	0.917526	0.3478	1	1	1	1
s000836	0.917526	0.3261	1	1	1	0
s000119	0.917526	0.1818	1	1	1	1
s000231	0.917526	0.3333	1	1	1	1
s000827	0.917526	0.3556	1	0	1	1
s000222	0.917526	0.2826	1	1	1	1
s000223	0.917526	0.1739	1	1	1	1
s000513	0.917526	0.2273	1	1	1	1
s000226	0.917526	0.2273	1	1	1	1
s000325	0.917526	0.2667	1	1	1	1
s000130	0.917526	0.3043	1	1	1	1
s000704	0.917526	0.3043	1	1	1	1
s000318	0.917526	0.1860	1	1	1	1
s000922	0.917526	0.3778	1	1	1	1
s000170	0.917526	0.2273	1	1	1	0
s000717	0.917526	0.1522	1	1	1	1
s000904	0.917526	0.1163	1	1	1	1
s000332	0.907216	0.2667	1	1	1	1
s000399	0.907216	0.1628	1	1	1	1
s000025	0.907216	0.1628	1	1	1	1
s000722	0.907216	0.2667	1	1	1	1
s000342	0.907216	0.2444	1	1	1	1
s000535	0.907216	0.3953	1	1	1	1
s000710	0.907216	0.2727	1	1	1	1
s000711	0.907216	0.2500	1	1	1	1
s000176	0.907216	0.1818	1	1	1	1
s000649	0.907216	0.1628	1	1	1	1
s000419	0.907216	0.1111	1	1	1	1
s000856	0.907216	0.1739	1	1	1	1
s000769	0.907216	0.3043	1	1	1	1
s000252	0.907216	0.2444	1	1	1	1
s000377	0.907216	0.2889	1	1	1	1
s000629	0.907216	0.3256	1	1	1	1
s000310	0.907216	0.1522	1	1	1	1
s000312	0.907216	0.2143	1	1	1	1
s000435	0.907216	0.2093	1	1	1	1
s000426	0.896907	0.2727	1	1	1	1
s000169	0.896907	0.3023	1	1	1	1
s000779	0.896907	0.2955	1	1	1	1
s000067	0.896907	0.1860	1	1	1	1
s000429	0.896907	0.4222	1	1	1	1
s000577	0.896907	0.1556	1	1	1	1
s000902	0.896907	0.3721	1	1	1	1
s000948	0.876289	0.3023	1	1	1	1
